experiment,variant,start,end,trading_days,net_cagr_1bp,annual_volatility,sharpe,sortino,max_drawdown,calmar,recent_30pct_start,recent_30pct_cagr,recent_30pct_sharpe,switches,same_holding_vs_internal_baseline
ohlc_er,close_er,2013-07-30,2026-07-23,3156,0.2951762322,0.2601820378,1.123913641,1.529396925,-0.2579467007,1.144330326,2022-08-25,0.3706458953,1.206756973,295,1
ohlc_er,open_close_er,2013-07-30,2026-07-23,3156,0.2705633460,0.2602713214,1.049705510,1.442696287,-0.2581804910,1.047962009,2022-08-25,0.3523990018,1.162446986,303,0.9524714829
ohlc_er,gap_range_er,2013-07-30,2026-07-23,3156,0.2983375478,0.2587380844,1.138002571,1.567993829,-0.2550525084,1.169710307,2022-08-25,0.3680237235,1.199529385,303,0.9134980989
ohlc_er,full_path_er,2013-07-30,2026-07-23,3156,0.2703855470,0.2570332245,1.059144516,1.454405740,-0.2550525084,1.060117184,2022-08-25,0.3687143904,1.200509436,301,0.9062103929
weighted_ohlc_er,close_er,2013-07-30,2026-07-23,3156,0.2951762322,0.2601820378,1.123913641,1.529396925,-0.2579467007,1.144330326,2022-08-25,0.3706458953,1.206756973,295,1
weighted_ohlc_er,w1_close_dominant,2013-07-30,2026-07-23,3156,0.3030386546,0.2606317142,1.145531769,1.580528532,-0.2550525084,1.188142224,2022-08-25,0.3857576873,1.240837021,291,0.9717997465
weighted_ohlc_er,w2_balanced,2013-07-30,2026-07-23,3156,0.2846447900,0.2598186801,1.093521249,1.507689550,-0.2550525084,1.116024272,2022-08-25,0.3400481665,1.126831503,296,0.9391634981
weighted_ohlc_er,w3_open_close,2013-07-30,2026-07-23,3156,0.2913618449,0.2605698190,1.111158205,1.530640200,-0.2550525084,1.142360241,2022-08-25,0.3541237969,1.162593330,295,0.9353612167
weighted_ohlc_er,w4_range,2013-07-30,2026-07-23,3156,0.2806028373,0.2595002031,1.082386948,1.490577133,-0.2550525084,1.100176741,2022-08-25,0.3363799295,1.119980260,300,0.9293409379
weighted_ohlc_er,w5_close_range,2013-07-30,2026-07-23,3156,0.2879755948,0.2592755356,1.105265290,1.523669998,-0.2550525084,1.129083563,2022-08-25,0.3379243856,1.124202534,292,0.9382129278
w1_er_normalization,w1_raw,2013-10-30,2026-07-23,3097,0.3176107453,0.2609748934,1.187003535,1.635889141,-0.2550525084,1.245275913,2022-09-20,0.4055737554,1.283355739,282,1
w1_er_normalization,w1_er_mean60,2013-10-30,2026-07-23,3097,0.2758313056,0.2581583292,1.072368371,1.444313012,-0.2550410754,1.081517184,2022-09-20,0.3906462565,1.265112281,289,0.9044236358
w1_er_normalization,w1_er_median60,2013-10-30,2026-07-23,3097,0.2861794720,0.2569469177,1.107642131,1.498846549,-0.2662119716,1.075006019,2022-09-20,0.4238412820,1.326495736,286,0.8873103003
w1_er_normalization,w1_er_log_median60,2013-10-30,2026-07-23,3097,0.2794378414,0.2576530299,1.084900874,1.469607610,-0.2645258638,1.056372475,2022-09-20,0.3983416453,1.267135083,291,0.9021633839
w1_er_normalization,w1_er_div_log_median60,2013-10-30,2026-07-23,3097,0.2803141217,0.2572528056,1.088854489,1.472269704,-0.2662119716,1.052973388,2022-09-20,0.4035873698,1.280207940,288,0.8934452696
median60_er_mom_power,p_0.8,2013-10-30,2026-07-23,3097,0.2596076931,0.2544651679,1.033904231,1.392926253,-0.3115642877,0.8332395701,2022-09-20,0.3502406903,1.168728692,295,0.9683564740
median60_er_mom_power,p_0.9,2013-10-30,2026-07-23,3097,0.2685141457,0.2562140396,1.056032733,1.432917151,-0.2692465421,0.9972798298,2022-09-20,0.3868600448,1.244216396,293,0.9780432677
median60_er_mom_power,p_1.0,2013-10-30,2026-07-23,3097,0.2861794720,0.2569469177,1.107642131,1.498846549,-0.2662119716,1.075006019,2022-09-20,0.4238412820,1.326495736,286,1
median60_er_mom_power,p_1.1,2013-10-30,2026-07-23,3097,0.2815868652,0.2572726132,1.092656916,1.476657910,-0.2662119716,1.057754328,2022-09-20,0.4035873698,1.280207940,286,0.9935421376
median60_er_mom_power,p_1.2,2013-10-30,2026-07-23,3097,0.2778570176,0.2569203246,1.082442601,1.464455557,-0.2645258638,1.050396409,2022-09-20,0.4035873698,1.280207940,288,0.9861155957
raw_w1_mom_power,p_0.95,2013-07-30,2026-07-23,3156,0.2906052887,0.2611196243,1.107132798,1.525045271,-0.2579467007,1.126609830,2022-08-25,0.3878754216,1.245921159,292,0.9914448669
raw_w1_mom_power,p_0.975,2013-07-30,2026-07-23,3156,0.3007029782,0.2606669279,1.138521053,1.570833346,-0.2579467007,1.165756249,2022-08-25,0.3919822575,1.256271322,291,0.9961977186
raw_w1_mom_power,p_1.0,2013-07-30,2026-07-23,3156,0.3030386546,0.2606317142,1.145531769,1.580528532,-0.2550525084,1.188142224,2022-08-25,0.3857576873,1.240837021,291,1
raw_w1_mom_power,p_1.025,2013-07-30,2026-07-23,3156,0.2962790451,0.2604806566,1.126057377,1.553068798,-0.2550525084,1.161639409,2022-08-25,0.3857576873,1.240837021,293,0.9965145754
raw_w1_mom_power,p_1.05,2013-07-30,2026-07-23,3156,0.2949094147,0.2605027570,1.121922505,1.547216643,-0.2550525084,1.156269415,2022-08-25,0.3857576873,1.240837021,293,0.9949302915
