stage,variant,pool,formula_or_change,selection_scope,cagr,sharpe,max_drawdown,train_sharpe,test_sharpe,decision
asset_pool,4ETF traditional ER,4ETF,MOM20*ER20,baseline,0.2961,1.1265,-0.2579,1.1118,1.1686,baseline
asset_pool,5ETF traditional ER,5ETF,MOM20*ER20,none,0.3175,1.2016,-0.2553,1.1815,1.2546,keep 510500 addition
ohlc_er,given OHLC weights,5ETF,"w=(0.54;0.23;0.115;0.115); beta=1",given,0.3007,1.1496,-0.2550,1.1172,1.2251,reject
ohlc_er,optimized OHLC weights,5ETF,"w=(0.52;0.27;0.065;0.145); beta=1",train Sharpe,0.3189,1.2043,-0.2550,1.2011,1.2251,reject complexity
er_power,traditional ER beta=1,5ETF,MOM20*ER20,baseline,0.3175,1.2016,-0.2553,1.1815,1.2546,reference
er_power,traditional ER beta=2,5ETF,MOM20*ER20^2,train Sharpe,0.3294,1.2615,-0.2562,1.3544,1.0994,reject OOS weakness
shifted_power,shifted beta=1,5ETF,MOM20*(1+ER20),full sample,0.3008,1.1283,-0.3203,,,reject
shifted_power,shifted beta=3.55,5ETF,MOM20*(1+ER20)^3.55,full sample Sharpe,0.3102,1.1766,-0.2553,,,reject
floor,beta=2 floor=0.008,5ETF,max(ER20^2;0.008),full sample Sharpe,0.3309,1.2686,-0.2562,,,intermediate
floor,beta=1 floor=0.072,5ETF,max(ER20;0.072),full sample Sharpe,0.3256,1.2249,-0.2553,,,intermediate
floor,beta=1.4 floor=0.08,5ETF,max(ER20^1.4;0.08),full sample Sharpe,0.3246,1.2391,-0.2562,,,not selected
cap,beta=1 floor=0.08 cap=0.281,5ETF,clip(ER20;0.08;0.281),full sample Sharpe,0.3680,1.3238,-0.2550,,,best fine-grid cap
final,beta=1 floor=0.08 cap=0.28,5ETF,clip(ER20^1;0.08;0.28),full sample Sharpe,0.3608,1.3053,-0.2805,1.31,1.32,current research candidate
replacement,original pool with 510300,4ETF,MOM20*ER20,none,0.2940,1.1204,-0.2579,,,keep
replacement,replace 510300 with 510500,4ETF,MOM20*ER20,none,0.2915,1.1271,-0.2667,,,reject replacement
