variant,total_return,cagr,sharpe,max_drawdown,switches,annual_sum_abs_delta_w,status
5etf_quality_momentum_rd1,25.941206,0.300924,1.149835,-0.281458,575,91.934073,rejected
5etf_quality_momentum_rd2,31.605060,0.320903,1.208622,-0.287825,468,74.841204,rejected_tradeoff
5etf_quality_momentum_rd3,22.393855,0.286336,1.098715,-0.294182,391,62.540729,rejected
5etf_quality_momentum_rd4,14.200635,0.242794,0.960080,-0.324808,353,56.470365,rejected
5etf_quality_momentum_rd5,30.294551,0.316582,1.198710,-0.255322,312,49.920761,research_baseline
5etf_rd5_drawdown15_unlock,30.087391,0.315884,1.197468,-0.260251,314,50.240254,rejected
drawdown_scaled_always,25.714665,0.300047,1.150119,-0.255322,314,50.240254,rejected
drawdown_scaled_threshold_0.95,29.310922,0.313228,1.190012,-0.255322,312,49.920761,rejected
drawdown_scaled_threshold_0.925,29.310922,0.313228,1.190012,-0.255322,312,49.920761,rejected
drawdown_scaled_threshold_0.92,29.310922,0.313228,1.190012,-0.255322,312,49.920761,rejected
drawdown_scaled_asset_p1,30.294551,0.316582,1.198710,-0.255322,312,49.920761,no_effect
conditional_top2_threshold_0.92_obey_lock,26.109269,0.301571,1.150314,-0.315396,319,50.080507,rejected
conditional_top2_asset_p1_unlock_positive,25.246066,0.298211,1.148077,-0.277189,334,50.751442,rejected
