arm,period,asset,name,holding_days,additive_log_excess_vs_B0
S0_static_current,IS,159819.SZ,人工智能ETF,5,-0.06968204903779926
S0_static_current,IS,159915.SZ,创业板ETF,220,0.01739227493105263
S0_static_current,IS,510210.SH,上证综指ETF,104,-0.16383704015679265
S0_static_current,IS,510300.SH,沪深300ETF,150,0.022032576008214087
S0_static_current,IS,510500.SH,中证500ETF,139,0.05251818087289396
S0_static_current,IS,512100.SH,中证1000ETF,42,0.02773760138733558
S0_static_current,IS,512400.SH,有色金属ETF,68,0.02556504024737164
S0_static_current,IS,512660.SH,军工ETF,115,-0.012266612648370421
S0_static_current,IS,512690.SH,酒ETF,118,0.006591553602099106
S0_static_current,IS,512880.SH,证券ETF,82,-0.2747016964988958
S0_static_current,IS,513050.SH,中概互联网ETF,80,-0.20335290986937227
S0_static_current,IS,513100.SH,纳指ETF,338,0.04250623846028577
S0_static_current,IS,513180.SH,恒生科技ETF,16,0.08182693758068021
S0_static_current,IS,513500.SH,标普500ETF,269,-0.3140150623872183
S0_static_current,IS,515220.SH,煤炭ETF,87,-0.2938008640089641
S0_static_current,IS,515790.SH,光伏ETF,28,-0.032699189529195344
S0_static_current,IS,515880.SH,通信ETF,14,0.0031247171620934905
S0_static_current,IS,518880.SH,黄金ETF,304,-0.14646892637758505
S0_static_current,IS,588000.SH,科创50ETF,13,-0.0299791299795871
S0_static_current,OOS,159326.SZ,电网设备ETF,12,0.01663042786972233
S0_static_current,OOS,159611.SZ,电力ETF,26,0.022564665959224052
S0_static_current,OOS,159819.SZ,人工智能ETF,15,-0.04182437384105514
S0_static_current,OOS,159870.SZ,化工ETF,7,-0.011282456363307535
S0_static_current,OOS,159915.SZ,创业板ETF,5,0.08869560419595376
S0_static_current,OOS,512100.SH,中证1000ETF,10,0.0004791115322476773
S0_static_current,OOS,512400.SH,有色金属ETF,37,0.030803638110836667
S0_static_current,OOS,512660.SH,军工ETF,22,0.061834268145050865
S0_static_current,OOS,512690.SH,酒ETF,13,-0.07652597023028461
S0_static_current,OOS,512880.SH,证券ETF,32,0.11652861561038855
S0_static_current,OOS,513050.SH,中概互联网ETF,50,0.024403849328696922
S0_static_current,OOS,513100.SH,纳指ETF,83,-0.025534036089345683
S0_static_current,OOS,513120.SH,港股创新药ETF,75,-0.3824016465943365
S0_static_current,OOS,513180.SH,恒生科技ETF,10,-0.004326159801195304
S0_static_current,OOS,513500.SH,标普500ETF,66,-0.028159104154287025
S0_static_current,OOS,515220.SH,煤炭ETF,63,-0.12810170798686105
S0_static_current,OOS,515790.SH,光伏ETF,20,-0.13112654592404505
S0_static_current,OOS,515880.SH,通信ETF,110,0.23778342802225924
S0_static_current,OOS,518880.SH,黄金ETF,118,-0.020350575076606776
S0_static_current,OOS,562500.SH,机器人ETF,36,-0.2265521613184142
S0_static_current,OOS,588000.SH,科创50ETF,5,0.08106485735807745
S0_static_current,OOS,588200.SH,科创芯片ETF,61,0.08856308730330864
D0_size_only,IS,159915.SZ,创业板ETF,345,0.04046169912668101
D0_size_only,IS,510300.SH,沪深300ETF,265,0.022189709416089342
D0_size_only,IS,510500.SH,中证500ETF,171,0.14045342786745824
D0_size_only,IS,512400.SH,有色金属ETF,23,-0.13614832725330023
D0_size_only,IS,512660.SH,军工ETF,76,-0.1481625884075824
D0_size_only,IS,512690.SH,酒ETF,54,-0.05248030423724028
D0_size_only,IS,512880.SH,证券ETF,92,-0.11620983975021076
D0_size_only,IS,513050.SH,中概互联网ETF,43,-0.1131073087452775
D0_size_only,IS,513100.SH,纳指ETF,586,0.04588023578851936
D0_size_only,IS,513180.SH,恒生科技ETF,16,0.08182693758068021
