asset,name,sleeve,core,size_asof,estimated_size_yi,listing_observations,passes_current_50yi
510300.SH,沪深300ETF,core,True,2026-08-14,1110.670856702,3306,True
159915.SZ,创业板ETF,core,True,2026-08-14,643.7235824172,3305,True
513100.SH,纳指ETF,core,True,2026-08-14,214.29010398399998,3222,True
518880.SH,黄金ETF,core,True,2026-08-14,1020.858547968,3173,True
510210.SH,上证综指ETF,broad_cn,False,2026-08-14,159.318451778,3260,True
510500.SH,中证500ETF,broad_cn,False,2026-08-14,407.271644628,3259,True
512100.SH,中证1000ETF,broad_cn,False,2026-08-14,209.62109352,2375,True
588000.SH,科创50ETF,broad_cn,False,2026-08-14,886.3325211480001,1395,True
563360.SH,中证A500ETF,broad_cn,False,2026-08-14,426.32935519200004,448,True
513500.SH,标普500ETF,broad_overseas,False,2026-08-14,281.26246030799996,3058,True
513180.SH,恒生科技ETF,style_overseas,False,2026-08-14,415.34500662,1269,True
513050.SH,中概互联网ETF,style_overseas,False,2026-08-14,371.559953738,2324,True
512880.SH,证券ETF,industry_financial,False,2026-08-14,642.6375686050001,2433,True
512690.SH,酒ETF,industry_consumer,False,2026-08-14,143.579678382,1768,True
513120.SH,港股创新药ETF,industry_healthcare,False,2026-08-14,265.856971562,994,True
515880.SH,通信ETF,industry_tmt,False,2026-08-14,413.5430406,1681,True
588200.SH,科创芯片ETF,industry_tmt,False,2026-08-14,512.163133716,924,True
159819.SZ,人工智能ETF,industry_tmt,False,2026-08-14,214.13200428312,1427,True
562500.SH,机器人ETF,industry_manufacturing,False,2026-08-14,183.57025987299997,1121,True
159326.SZ,电网设备ETF,industry_manufacturing,False,2026-08-14,217.2197710985,467,True
512400.SH,有色金属ETF,industry_cyclical,False,2026-08-14,247.79863709999998,2172,True
515220.SH,煤炭ETF,industry_cyclical,False,2026-08-14,142.71612893999998,1568,True
159870.SZ,化工ETF,industry_cyclical,False,2026-08-14,136.93834829238,1324,True
159611.SZ,电力ETF,industry_utility,False,2026-08-14,102.10834719200001,1115,True
515790.SH,光伏ETF,industry_energy,False,2026-08-14,51.7745231,1371,True
512660.SH,军工ETF,industry_defense,False,2026-08-14,67.3929216,2433,True
