arm,asset,name,sleeve,holding_days,share_all_holding_days,share_satellite_holding_days
B0_core4,513100.SH,纳指ETF,core,990,0.3226857887874837,0.0
B0_core4,518880.SH,黄金ETF,core,872,0.2842242503259452,0.0
B0_core4,159915.SZ,创业板ETF,core,708,0.23076923076923078,0.0
B0_core4,510300.SH,沪深300ETF,core,498,0.1623207301173403,0.0
S0_static_current,518880.SH,黄金ETF,core,422,0.13754889178617993,0.0
S0_static_current,513100.SH,纳指ETF,core,421,0.13722294654498043,0.0
S0_static_current,513500.SH,标普500ETF,broad_overseas,335,0.1091916558018253,0.1810810810810811
S0_static_current,159915.SZ,创业板ETF,core,225,0.07333767926988266,0.0
S0_static_current,510300.SH,沪深300ETF,core,150,0.04889178617992177,0.0
S0_static_current,515220.SH,煤炭ETF,industry_cyclical,150,0.04889178617992177,0.08108108108108109
S0_static_current,510500.SH,中证500ETF,broad_cn,139,0.04530638852672751,0.07513513513513513
S0_static_current,512660.SH,军工ETF,industry_defense,137,0.044654498044328556,0.07405405405405406
S0_static_current,512690.SH,酒ETF,industry_consumer,131,0.04269882659713168,0.07081081081081081
S0_static_current,513050.SH,中概互联网ETF,style_overseas,130,0.0423728813559322,0.07027027027027027
S0_static_current,515880.SH,通信ETF,industry_tmt,124,0.04041720990873533,0.06702702702702702
S0_static_current,512880.SH,证券ETF,industry_financial,114,0.037157757496740544,0.061621621621621624
S0_static_current,512400.SH,有色金属ETF,industry_cyclical,105,0.03422425032594524,0.05675675675675676
S0_static_current,510210.SH,上证综指ETF,broad_cn,104,0.03389830508474576,0.05621621621621622
S0_static_current,513120.SH,港股创新药ETF,industry_healthcare,75,0.024445893089960886,0.04054054054054054
S0_static_current,588200.SH,科创芯片ETF,industry_tmt,61,0.019882659713168188,0.032972972972972976
S0_static_current,512100.SH,中证1000ETF,broad_cn,52,0.01694915254237288,0.02810810810810811
S0_static_current,515790.SH,光伏ETF,industry_energy,48,0.01564537157757497,0.025945945945945945
S0_static_current,562500.SH,机器人ETF,industry_manufacturing,36,0.011734028683181226,0.01945945945945946
S0_static_current,513180.SH,恒生科技ETF,style_overseas,26,0.00847457627118644,0.014054054054054054
S0_static_current,159611.SZ,电力ETF,industry_utility,26,0.00847457627118644,0.014054054054054054
S0_static_current,159819.SZ,人工智能ETF,industry_tmt,20,0.00651890482398957,0.010810810810810811
S0_static_current,588000.SH,科创50ETF,broad_cn,18,0.005867014341590613,0.00972972972972973
S0_static_current,159326.SZ,电网设备ETF,industry_manufacturing,12,0.003911342894393742,0.006486486486486486
S0_static_current,159870.SZ,化工ETF,industry_cyclical,7,0.0022816166883963492,0.0037837837837837837
D0_size_only,513100.SH,纳指ETF,core,703,0.22913950456323337,0.0
D0_size_only,518880.SH,黄金ETF,core,591,0.1926336375488918,0.0
D0_size_only,159915.SZ,创业板ETF,core,360,0.11734028683181226,0.0
D0_size_only,510300.SH,沪深300ETF,core,265,0.0863754889178618,0.0
D0_size_only,510500.SH,中证500ETF,broad_cn,171,0.05573663624511082,0.14882506527415143
D0_size_only,512880.SH,证券ETF,industry_financial,138,0.044980443285528034,0.12010443864229765
D0_size_only,513500.SH,标普500ETF,broad_overseas,131,0.04269882659713168,0.11401218450826806
D0_size_only,512660.SH,军工ETF,industry_defense,103,0.033572359843546284,0.08964316797214969
D0_size_only,513050.SH,中概互联网ETF,style_overseas,97,0.031616688396349416,0.08442123585726719
D0_size_only,512690.SH,酒ETF,industry_consumer,78,0.025423728813559324,0.06788511749347259
D0_size_only,515790.SH,光伏ETF,industry_energy,65,0.0211864406779661,0.05657093124456049
D0_size_only,513120.SH,港股创新药ETF,industry_healthcare,63,0.020534550195567144,0.05483028720626632
D0_size_only,588200.SH,科创芯片ETF,industry_tmt,61,0.019882659713168188,0.05308964316797215
D0_size_only,512400.SH,有色金属ETF,industry_cyclical,50,0.016297262059973925,0.04351610095735422
D0_size_only,515880.SH,通信ETF,industry_tmt,37,0.012059973924380704,0.03220191470844212
D0_size_only,512100.SH,中证1000ETF,broad_cn,30,0.009778357235984355,0.02610966057441253
D0_size_only,588000.SH,科创50ETF,broad_cn,28,0.009126466753585397,0.024369016536118365
D0_size_only,513180.SH,恒生科技ETF,style_overseas,26,0.00847457627118644,0.022628372497824196
D0_size_only,515220.SH,煤炭ETF,industry_cyclical,21,0.006844850065189048,0.018276762402088774
D0_size_only,159819.SZ,人工智能ETF,industry_tmt,17,0.005541069100391135,0.014795474325500435
D0_size_only,159326.SZ,电网设备ETF,industry_manufacturing,11,0.003585397653194263,0.009573542210617928
D0_size_only,562500.SH,机器人ETF,industry_manufacturing,10,0.003259452411994785,0.008703220191470844
D0_size_only,159870.SZ,化工ETF,industry_cyclical,7,0.0022816166883963492,0.006092254134029591
D0_size_only,510210.SH,上证综指ETF,broad_cn,5,0.0016297262059973925,0.004351610095735422
D1_positive_top5,513100.SH,纳指ETF,core,756,0.24641460234680573,0.0
D1_positive_top5,518880.SH,黄金ETF,core,670,0.2183833116036506,0.0
D1_positive_top5,159915.SZ,创业板ETF,core,428,0.1395045632333768,0.0
D1_positive_top5,510300.SH,沪深300ETF,core,298,0.09713168187744459,0.0
D1_positive_top5,510500.SH,中证500ETF,broad_cn,138,0.044980443285528034,0.15065502183406113
D1_positive_top5,512880.SH,证券ETF,industry_financial,109,0.03552803129074315,0.11899563318777293
D1_positive_top5,513500.SH,标普500ETF,broad_overseas,102,0.033246414602346806,0.11135371179039301
D1_positive_top5,512660.SH,军工ETF,industry_defense,100,0.03259452411994785,0.1091703056768559
D1_positive_top5,513050.SH,中概互联网ETF,style_overseas,61,0.019882659713168188,0.0665938864628821
D1_positive_top5,588200.SH,科创芯片ETF,industry_tmt,61,0.019882659713168188,0.0665938864628821
D1_positive_top5,513120.SH,港股创新药ETF,industry_healthcare,59,0.019230769230769232,0.06441048034934498
D1_positive_top5,512400.SH,有色金属ETF,industry_cyclical,49,0.015971316818774447,0.05349344978165939
D1_positive_top5,515790.SH,光伏ETF,industry_energy,44,0.014341590612777053,0.048034934497816595
D1_positive_top5,512690.SH,酒ETF,industry_consumer,43,0.014015645371577574,0.04694323144104803
D1_positive_top5,515880.SH,通信ETF,industry_tmt,40,0.01303780964797914,0.043668122270742356
D1_positive_top5,588000.SH,科创50ETF,broad_cn,25,0.008148631029986962,0.027292576419213975
D1_positive_top5,515220.SH,煤炭ETF,industry_cyclical,18,0.005867014341590613,0.019650655021834062
D1_positive_top5,513180.SH,恒生科技ETF,style_overseas,15,0.0048891786179921775,0.016375545851528384
D1_positive_top5,512100.SH,中证1000ETF,broad_cn,15,0.0048891786179921775,0.016375545851528384
D1_positive_top5,159326.SZ,电网设备ETF,industry_manufacturing,14,0.0045632333767926985,0.015283842794759825
D1_positive_top5,159819.SZ,人工智能ETF,industry_tmt,12,0.003911342894393742,0.013100436681222707
D1_positive_top5,159870.SZ,化工ETF,industry_cyclical,6,0.001955671447196871,0.006550218340611353
D1_positive_top5,562500.SH,机器人ETF,industry_manufacturing,5,0.0016297262059973925,0.0054585152838427945
D2_median_core_top3,513100.SH,纳指ETF,core,781,0.2545632333767927,0.0
D2_median_core_top3,518880.SH,黄金ETF,core,689,0.2245762711864407,0.0
D2_median_core_top3,159915.SZ,创业板ETF,core,457,0.14895697522816168,0.0
D2_median_core_top3,510300.SH,沪深300ETF,core,308,0.10039113428943937,0.0
D2_median_core_top3,510500.SH,中证500ETF,broad_cn,109,0.03552803129074315,0.13085234093637454
D2_median_core_top3,513500.SH,标普500ETF,broad_overseas,103,0.033572359843546284,0.12364945978391356
D2_median_core_top3,512660.SH,军工ETF,industry_defense,94,0.030638852672750978,0.11284513805522209
D2_median_core_top3,512880.SH,证券ETF,industry_financial,76,0.024771838331160364,0.09123649459783914
D2_median_core_top3,513050.SH,中概互联网ETF,style_overseas,61,0.019882659713168188,0.07322929171668667
D2_median_core_top3,588200.SH,科创芯片ETF,industry_tmt,61,0.019882659713168188,0.07322929171668667
D2_median_core_top3,513120.SH,港股创新药ETF,industry_healthcare,59,0.019230769230769232,0.07082833133253301
D2_median_core_top3,512690.SH,酒ETF,industry_consumer,45,0.014667535853976532,0.05402160864345738
D2_median_core_top3,515790.SH,光伏ETF,industry_energy,43,0.014015645371577574,0.05162064825930372
D2_median_core_top3,515880.SH,通信ETF,industry_tmt,43,0.014015645371577574,0.05162064825930372
D2_median_core_top3,512400.SH,有色金属ETF,industry_cyclical,39,0.012711864406779662,0.0468187274909964
D2_median_core_top3,588000.SH,科创50ETF,broad_cn,25,0.008148631029986962,0.030012004801920768
D2_median_core_top3,513180.SH,恒生科技ETF,style_overseas,20,0.00651890482398957,0.024009603841536616
D2_median_core_top3,159326.SZ,电网设备ETF,industry_manufacturing,17,0.005541069100391135,0.02040816326530612
D2_median_core_top3,515220.SH,煤炭ETF,industry_cyclical,16,0.005215123859191656,0.01920768307322929
D2_median_core_top3,159819.SZ,人工智能ETF,industry_tmt,12,0.003911342894393742,0.014405762304921969
D2_median_core_top3,562500.SH,机器人ETF,industry_manufacturing,5,0.0016297262059973925,0.006002400960384154
D2_median_core_top3,159870.SZ,化工ETF,industry_cyclical,5,0.0016297262059973925,0.006002400960384154
D3_best_core_top2,513100.SH,纳指ETF,core,890,0.2900912646675359,0.0
D3_best_core_top2,518880.SH,黄金ETF,core,729,0.23761408083441982,0.0
D3_best_core_top2,159915.SZ,创业板ETF,core,529,0.17242503259452413,0.0
D3_best_core_top2,510300.SH,沪深300ETF,core,378,0.12320730117340287,0.0
D3_best_core_top2,512660.SH,军工ETF,industry_defense,61,0.019882659713168188,0.11254612546125461
D3_best_core_top2,588200.SH,科创芯片ETF,industry_tmt,52,0.01694915254237288,0.0959409594095941
D3_best_core_top2,512400.SH,有色金属ETF,industry_cyclical,50,0.016297262059973925,0.09225092250922509
D3_best_core_top2,513050.SH,中概互联网ETF,style_overseas,44,0.014341590612777053,0.08118081180811808
D3_best_core_top2,513120.SH,港股创新药ETF,industry_healthcare,44,0.014341590612777053,0.08118081180811808
D3_best_core_top2,512690.SH,酒ETF,industry_consumer,40,0.01303780964797914,0.07380073800738007
D3_best_core_top2,513180.SH,恒生科技ETF,style_overseas,40,0.01303780964797914,0.07380073800738007
D3_best_core_top2,510500.SH,中证500ETF,broad_cn,36,0.011734028683181226,0.06642066420664207
D3_best_core_top2,515880.SH,通信ETF,industry_tmt,32,0.010430247718383311,0.05904059040590406
D3_best_core_top2,512880.SH,证券ETF,industry_financial,31,0.010104302477183833,0.05719557195571956
D3_best_core_top2,513500.SH,标普500ETF,broad_overseas,23,0.007496740547588005,0.042435424354243544
D3_best_core_top2,515790.SH,光伏ETF,industry_energy,20,0.00651890482398957,0.03690036900369004
D3_best_core_top2,159326.SZ,电网设备ETF,industry_manufacturing,20,0.00651890482398957,0.03690036900369004
D3_best_core_top2,588000.SH,科创50ETF,broad_cn,19,0.006192959582790091,0.03505535055350553
D3_best_core_top2,159819.SZ,人工智能ETF,industry_tmt,17,0.005541069100391135,0.03136531365313653
D3_best_core_top2,515220.SH,煤炭ETF,industry_cyclical,8,0.002607561929595828,0.014760147601476014
D3_best_core_top2,159870.SZ,化工ETF,industry_cyclical,5,0.0016297262059973925,0.00922509225092251
