selector,factor,satellite_weight,satellite_topn,activation,corr_cap,rebalance_days,sharpe_D,delta_D,sharpe_V,delta_V,min_DV_delta,sharpe_DV,sharpe_T_not_used_for_selection,delta_T_not_used_for_selection,full_sharpe,full_annual_return,full_max_drawdown,satellite_days,config_id
P60_TOP5,QM20,0.25,2,beat_best,,5,1.509108363545654,0.07198327920433956,1.0193549573492797,0.025343390796664367,0.025343390796664367,1.2880310388036564,1.015716749628274,-0.24911136208032136,1.2077748036992857,0.3010572517349639,-0.24542198893572742,991,P60_TOP5|QM20|w0.25|n2|beat_best|corrnone|rd5
ALIGN_TOP3,QM20,0.25,2,beat_best,,5,1.5031472956533256,0.06602221131201125,0.9828746458263692,-0.011136920726246169,-0.011136920726246169,1.2672393007041103,1.333957381486337,0.0691292697777417,1.286833480044245,0.3292484485679079,-0.24445097628980272,846,ALIGN_TOP3|QM20|w0.25|n2|beat_best|corrnone|rd5
MEDIAN_TOP3,QM20,0.25,2,beat_best,,5,1.5031472956533256,0.06602221131201125,0.9821644442424412,-0.011847122310174152,-0.011847122310174152,1.2669065000256017,1.333957381486337,0.0691292697777417,1.2866001421052597,0.32918081325539617,-0.24445097628980272,846,MEDIAN_TOP3|QM20|w0.25|n2|beat_best|corrnone|rd5
P60_TOP5,QM20,0.25,2,beat_best,0.85,5,1.466051105354785,0.028926021013470526,0.9752200406781963,-0.018791525874419013,-0.018791525874419013,1.2448070058020182,1.0749469457308265,-0.18988116597776883,1.1951676907419144,0.29540572018123634,-0.24445097628980272,897,P60_TOP5|QM20|w0.25|n2|beat_best|corr0.85|rd5
ALIGN_TOP3,QM20,0.25,2,beat_best,0.85,5,1.501236957432684,0.06411187309136968,0.958004013538265,-0.036007553014350324,-0.036007553014350324,1.255740460388486,1.3762318143128474,0.11140370260425203,1.2913967973552745,0.3302610813321747,-0.24445097628980272,768,ALIGN_TOP3|QM20|w0.25|n2|beat_best|corr0.85|rd5
MEDIAN_TOP3,QM20,0.25,2,beat_best,0.85,5,1.501236957432684,0.06411187309136968,0.9572915129835643,-0.03672005356905106,-0.03672005356905106,1.2554072116245374,1.3762318143128474,0.11140370260425203,1.2911629732441023,0.33019339449450724,-0.24445097628980272,768,MEDIAN_TOP3|QM20|w0.25|n2|beat_best|corr0.85|rd5
ALIGN_TOP3,ER_FLOOR20,0.4,1,beat_best,,10,1.386137516783889,-0.050987567557425395,0.9809297255952314,-0.013081840957383961,-0.050987567557425395,1.2044251623109445,0.9281620473902407,-0.33666606431835466,1.1213568375103145,0.29172701711391325,-0.32510096522842635,941,ALIGN_TOP3|ER_FLOOR20|w0.40|n1|beat_best|corrnone|rd10
MEDIAN_TOP3,ER_FLOOR20,0.4,1,beat_best,,10,1.386137516783889,-0.050987567557425395,0.9809297255952314,-0.013081840957383961,-0.050987567557425395,1.2044251623109445,0.9281620473902407,-0.33666606431835466,1.1213568375103145,0.29172701711391325,-0.32510096522842635,941,MEDIAN_TOP3|ER_FLOOR20|w0.40|n1|beat_best|corrnone|rd10
ALIGN_TOP3,ER_FLOOR20,0.4,2,beat_best,0.85,10,1.3843466305464653,-0.05277845379484902,1.0132186617277386,0.0192070951751232,-0.05277845379484902,1.2172016797694127,0.9779206100958575,-0.2869075016127378,1.1480745786698834,0.29751137907892855,-0.32510096522842635,901,ALIGN_TOP3|ER_FLOOR20|w0.40|n2|beat_best|corr0.85|rd10
MEDIAN_TOP3,ER_FLOOR20,0.4,2,beat_best,0.85,10,1.3843466305464653,-0.05277845379484902,1.0132186617277386,0.0192070951751232,-0.05277845379484902,1.2172016797694127,0.9779206100958575,-0.2869075016127378,1.1480745786698834,0.29751137907892855,-0.32510096522842635,901,MEDIAN_TOP3|ER_FLOOR20|w0.40|n2|beat_best|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.4,1,beat_best,0.85,10,1.3843466305464653,-0.05277845379484902,0.96784978124905,-0.026161785303565388,-0.05277845379484902,1.1964509890016972,1.0265844013317529,-0.23824371037684244,1.1454728639601426,0.30088930446057605,-0.32510096522842635,871,ALIGN_TOP3|ER_FLOOR20|w0.40|n1|beat_best|corr0.85|rd10
MEDIAN_TOP3,ER_FLOOR20,0.4,1,beat_best,0.85,10,1.3843466305464653,-0.05277845379484902,0.96784978124905,-0.026161785303565388,-0.05277845379484902,1.1964509890016972,1.0265844013317529,-0.23824371037684244,1.1454728639601426,0.30088930446057605,-0.32510096522842635,871,MEDIAN_TOP3|ER_FLOOR20|w0.40|n1|beat_best|corr0.85|rd10
P60_TOP5,QM20,0.25,1,beat_best,,5,1.509108363545654,0.07198327920433956,0.9373319505289354,-0.05667961602367999,-0.05667961602367999,1.2486865898247037,0.9704942425377346,-0.2943338691708607,1.165311559181377,0.29150362803046503,-0.26117598136941866,964,P60_TOP5|QM20|w0.25|n1|beat_best|corrnone|rd5
ALIGN_TOP3,ER_FLOOR20,0.25,1,beat_best,,10,1.3730808794969325,-0.06404420484438189,1.0804823910223251,0.08647082446970977,-0.06404420484438189,1.2430346985440295,0.9257653409798489,-0.33906277072874647,1.1506019661670743,0.2968317102948441,-0.31504591267558735,941,ALIGN_TOP3|ER_FLOOR20|w0.25|n1|beat_best|corrnone|rd10
MEDIAN_TOP3,ER_FLOOR20,0.25,1,beat_best,,10,1.3730808794969325,-0.06404420484438189,1.0804823910223251,0.08647082446970977,-0.06404420484438189,1.2430346985440295,0.9257653409798489,-0.33906277072874647,1.1506019661670743,0.2968317102948441,-0.31504591267558735,941,MEDIAN_TOP3|ER_FLOOR20|w0.25|n1|beat_best|corrnone|rd10
ALIGN_TOP3,ER_FLOOR20,0.25,2,beat_best,0.85,10,1.3719377495581548,-0.06518733478315952,1.10422330974816,0.11021174319554461,-0.06518733478315952,1.2524609985002824,0.9829819748745092,-0.2818461368340861,1.1760016912834768,0.3032475203812959,-0.31504591267558735,901,ALIGN_TOP3|ER_FLOOR20|w0.25|n2|beat_best|corr0.85|rd10
MEDIAN_TOP3,ER_FLOOR20,0.25,2,beat_best,0.85,10,1.3719377495581548,-0.06518733478315952,1.10422330974816,0.11021174319554461,-0.06518733478315952,1.2524609985002824,0.9829819748745092,-0.2818461368340861,1.1760016912834768,0.3032475203812959,-0.31504591267558735,901,MEDIAN_TOP3|ER_FLOOR20|w0.25|n2|beat_best|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.25,1,beat_best,0.85,10,1.3719377495581548,-0.06518733478315952,1.0758563067735059,0.0818447402208905,-0.06518733478315952,1.239677812384046,1.0303491955733337,-0.23447891613526162,1.1789600831391143,0.3070833805884119,-0.31504591267558735,871,ALIGN_TOP3|ER_FLOOR20|w0.25|n1|beat_best|corr0.85|rd10
MEDIAN_TOP3,ER_FLOOR20,0.25,1,beat_best,0.85,10,1.3719377495581548,-0.06518733478315952,1.0758563067735059,0.0818447402208905,-0.06518733478315952,1.239677812384046,1.0303491955733337,-0.23447891613526162,1.1789600831391143,0.3070833805884119,-0.31504591267558735,871,MEDIAN_TOP3|ER_FLOOR20|w0.25|n1|beat_best|corr0.85|rd10
P60_TOP5,QM20,0.4,2,beat_best,,5,1.5545981919233334,0.11747310758201901,0.9241907128949379,-0.06982085365767743,-0.06982085365767743,1.2671840267890264,0.9540583884842289,-0.31076972322436647,1.1731312421697195,0.29304202271578106,-0.27355591829407333,991,P60_TOP5|QM20|w0.40|n2|beat_best|corrnone|rd5
ALIGN_TOP3,ER_FLOOR20,0.25,2,beat_best,,10,1.3730808794969325,-0.06404420484438189,0.9212839371321838,-0.07272762942043154,-0.07272762942043154,1.1730888357009353,0.8998331695694733,-0.364994942139122,1.0942235775053726,0.27635543844320676,-0.31504591267558735,953,ALIGN_TOP3|ER_FLOOR20|w0.25|n2|beat_best|corrnone|rd10
MEDIAN_TOP3,ER_FLOOR20,0.25,2,beat_best,,10,1.3730808794969325,-0.06404420484438189,0.9212839371321838,-0.07272762942043154,-0.07272762942043154,1.1730888357009353,0.8998331695694733,-0.364994942139122,1.0942235775053726,0.27635543844320676,-0.31504591267558735,953,MEDIAN_TOP3|ER_FLOOR20|w0.25|n2|beat_best|corrnone|rd10
ALIGN_TOP3,ER_FLOOR20,0.25,2,selector_only,0.85,10,1.3556242990431104,-0.08150078529820393,0.9426048964606756,-0.05140667009193978,-0.08150078529820393,1.1737007742097765,1.2318866807577458,-0.03294143095084956,1.1890889283247374,0.31176500494639736,-0.25294075607437894,1387,ALIGN_TOP3|ER_FLOOR20|w0.25|n2|selector_only|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.25,1,selector_only,0.85,10,1.3556242990431104,-0.08150078529820393,0.9398579006146107,-0.054153665938004636,-0.08150078529820393,1.1719160945011287,1.528030068369849,0.26320195666125357,1.2783746368935978,0.3323816085259892,-0.25294075607437894,1393,ALIGN_TOP3|ER_FLOOR20|w0.25|n1|selector_only|corr0.85|rd10
MEDIAN_TOP3,QM20,0.25,2,selector_only,,5,1.3521389526273067,-0.0849861317140077,1.0267521407125053,0.03274057415988996,-0.0849861317140077,1.205429440242114,1.3389799781731977,0.07415186646460237,1.2444999798853043,0.3061613116511406,-0.26764496871164467,1436,MEDIAN_TOP3|QM20|w0.25|n2|selector_only|corrnone|rd5
MEDIAN_TOP3,QM20,0.25,1,selector_only,,5,1.3521389526273067,-0.0849861317140077,0.9343765171608339,-0.059635049391781436,-0.0849861317140077,1.1640724846520571,1.1797161437494292,-0.08511196795916609,1.1685705300552836,0.28419774649045615,-0.26764496871164467,1408,MEDIAN_TOP3|QM20|w0.25|n1|selector_only|corrnone|rd5
ALIGN_TOP3,QM20,0.25,1,beat_best,,5,1.5031472956533256,0.06602221131201125,0.9083470814921676,-0.08566448506044777,-0.08566448506044777,1.2317836241313016,1.0895196124028206,-0.17530849930577475,1.189348328381429,0.2987060184846817,-0.26117598136941855,842,ALIGN_TOP3|QM20|w0.25|n1|beat_best|corrnone|rd5
MEDIAN_TOP3,QM20,0.25,1,beat_best,,5,1.5031472956533256,0.06602221131201125,0.9083470814921676,-0.08566448506044777,-0.08566448506044777,1.2317836241313016,1.0895196124028206,-0.17530849930577475,1.189348328381429,0.2987060184846817,-0.26117598136941855,842,MEDIAN_TOP3|QM20|w0.25|n1|beat_best|corrnone|rd5
