year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7056367234535372,-0.06211854320456589
2015,0.39635776312980187,0.6048545336135001,0.2084967704836982
2016,0.14299272484202374,0.09663073015087442,-0.04636199469114932
2017,0.24303199599157344,0.26672628090226635,0.02369428491069292
2018,0.286836138780572,0.286836138780572,0.0
2019,0.42816920631941713,0.6090986570937322,0.1809294507743151
2020,0.21398539300393304,0.2728259788134635,0.058840585809530443
2021,0.06184614235334007,0.07926519175356139,0.01741904940022132
2022,0.2282291014130471,0.05091314346935971,-0.17731595794368737
2023,0.09325641293319364,0.2139692414242782,0.12071282849108456
2024,0.6931222879592331,0.09343479114979192,-0.5996874968094412
2025,0.5095569756768099,0.5276572616552828,0.018100285978472908
2026,0.176127385233807,0.06868953640598563,-0.10743784882782137
