selector,factor,delta_D,delta_V,delta_T_pseudo_oos,min_segment_delta,full_sharpe_delta,full_5bp_sharpe_delta,max_drawdown_delta,rolling36_lead_share,satellite_days
ALIGN_TOP3,QM20,0.02623179440850376,0.07020131750685066,0.18687526137622745,0.02623179440850376,0.09284969013085465,0.09802677027245954,-0.00838634347985645,0.9099099099099099,672
MEDIAN_TOP3,QM20,0.02623179440850376,0.06977518125942661,0.18687526137622745,0.02623179440850376,0.09271879953579498,0.09789628524366822,-0.008386343479856562,0.9099099099099099,672
RISK_MEDIAN_TOP3,QM20,0.024202976550606436,0.06426245496881589,0.15473022931922653,0.024202976550606436,0.0801395595737382,0.08433890678946576,0.0020348721115130974,0.9099099099099099,664
ALIGN_TOP3,ER_FLOOR20,-0.07571497807278216,-0.24804819965830904,0.3338773513073974,-0.24804819965830904,0.010932201338951009,0.019576316105986535,-0.061132389895465544,0.3333333333333333,703
MEDIAN_TOP3,ER_FLOOR20,-0.07571497807278216,-0.2483911270863005,0.33755598802490794,-0.2483911270863005,0.012008501714984687,0.020668148611974635,-0.061132389895465544,0.34234234234234234,703
RISK_MEDIAN_TOP3,ER_FLOOR20,-0.07758380910625129,-0.2951271999239433,0.4350854059324887,-0.2951271999239433,0.031744481821456505,0.03959668625137969,-0.061132389895465544,0.3333333333333333,675
ALIGN_TOP3,DUAL_RANK,-0.7309119264252785,-0.21149186137750942,0.31469654246155865,-0.7309119264252785,-0.22469055782879344,-0.22008596538266156,-0.13461588098097244,0.16216216216216217,717
MEDIAN_TOP3,DUAL_RANK,-0.7309119264252785,-0.21149186137750942,0.31469654246155865,-0.7309119264252785,-0.22469055782879344,-0.22008596538266156,-0.13461588098097244,0.16216216216216217,717
RISK_MEDIAN_TOP3,DUAL_RANK,-0.7335552253733795,-0.20743323077803677,0.3322581731050378,-0.7335552253733795,-0.21874457523342072,-0.21413448230363985,-0.13461588098097244,0.2072072072072072,691
ALIGN_TOP3,TRI_RANK,-0.8987319266727056,-0.22689319607961145,-0.1203969746025888,-0.8987319266727056,-0.43647271015061206,-0.42833946836524117,-0.24660697490898364,0.0990990990990991,698
MEDIAN_TOP3,TRI_RANK,-0.8987319266727056,-0.22689319607961145,-0.1203969746025888,-0.8987319266727056,-0.43647271015061206,-0.42833946836524117,-0.24660697490898364,0.0990990990990991,698
RISK_MEDIAN_TOP3,TRI_RANK,-0.8997286064771478,-0.2574365657979141,-0.12432298548328502,-0.8997286064771478,-0.44750917083739983,-0.44008300005239787,-0.24660697490898364,0.06306306306306306,675
ALIGN_TOP3,QM60,-1.0174659036331621,-0.8031970624277035,-0.37784271944348957,-1.0174659036331621,-0.7414338522310175,-0.7112798547147361,-0.3983120360953173,0.0,582
MEDIAN_TOP3,QM60,-1.0174659036331621,-0.8031970624277035,-0.37784271944348957,-1.0174659036331621,-0.7414338522310175,-0.7112798547147361,-0.3983120360953173,0.0,582
RISK_MEDIAN_TOP3,QM60,-1.0174659036331621,-0.8031970624277035,-0.48055313465875815,-1.0174659036331621,-0.7736933693302481,-0.7442161392517435,-0.3983120360953173,0.0,576
