asset,name,sleeve,holding_days,average_weight_when_held,average_weight_all_days
510300.SH,沪深300ETF,core,476,0.9533613445378151,0.14791395045632333
159915.SZ,创业板ETF,core,739,0.9435723951285521,0.22728161668839633
513100.SH,纳指ETF,core,1011,0.9635014836795252,0.317503259452412
518880.SH,黄金ETF,core,842,1.0,0.27444589308996087
510210.SH,上证综指ETF,broad_cn,0,0.0,0.0
510500.SH,中证500ETF,broad_cn,122,0.13520785036908856,0.0053765833588751005
512100.SH,中证1000ETF,broad_cn,0,0.0,0.0
588000.SH,科创50ETF,broad_cn,60,0.08962700749131391,0.001752809794484627
563360.SH,中证A500ETF,broad_cn,0,0.0,0.0
513500.SH,标普500ETF,broad_overseas,120,0.13999990274774457,0.0054758762482820566
513180.SH,恒生科技ETF,style_overseas,20,0.07199576447272533,0.00046933353632806605
513050.SH,中概互联网ETF,style_overseas,66,0.12265960738557805,0.0026387008107718875
512880.SH,证券ETF,industry_financial,102,0.10100525478664492,0.003358062577652471
512690.SH,酒ETF,industry_consumer,10,0.14999999999999997,0.0004889178617992178
513120.SH,港股创新药ETF,industry_healthcare,46,0.10029030636104608,0.0015037008124537542
515880.SH,通信ETF,industry_tmt,42,0.11124263104925294,0.00152287826077856
588200.SH,科创芯片ETF,industry_tmt,67,0.08872824331072206,0.0019376767606969936
159819.SZ,人工智能ETF,industry_tmt,30,0.10144300108934078,0.0009919459037419241
562500.SH,机器人ETF,industry_manufacturing,10,0.06798285624340249,0.00022158688475685292
159326.SZ,电网设备ETF,industry_manufacturing,10,0.07511186329073116,0.00024482354397239623
512400.SH,有色金属ETF,industry_cyclical,30,0.09614004989451962,0.0009400917525539726
515220.SH,煤炭ETF,industry_cyclical,25,0.10751824156893956,0.000876126479538295
159870.SZ,化工ETF,industry_cyclical,10,0.09147808304612162,0.00029816845842934036
159611.SZ,电力ETF,industry_utility,0,0.0,0.0
515790.SH,光伏ETF,industry_energy,38,0.10950795919825813,0.0013563567306172785
512660.SH,军工ETF,industry_defense,89,0.11726104683204251,0.003401640537174636
