selector,satellite_weight,rebalance_days,delta_D,delta_V,delta_T_pseudo_oos,min_segment_delta,full_sharpe_delta,full_5bp_sharpe_delta,max_drawdown_delta,rolling36_lead_share,satellite_days
ALIGN_TOP3,0.15,5,0.02623179440850376,0.07020131750685066,0.18687526137622745,0.02623179440850376,0.09284969013085465,0.09802677027245954,-0.00838634347985645,0.9099099099099099,672
MEDIAN_TOP3,0.15,5,0.02623179440850376,0.06977518125942661,0.18687526137622745,0.02623179440850376,0.09271879953579498,0.09789628524366822,-0.008386343479856562,0.9099099099099099,672
ALIGN_TOP3,0.25,5,0.04507259197830171,0.024407938103738203,0.19270851428811953,0.024407938103738203,0.08779306542279164,0.0910999090379434,-0.006015798125435068,0.8828828828828829,672
RISK_MEDIAN_TOP3,0.15,5,0.024202976550606436,0.06426245496881589,0.15473022931922653,0.024202976550606436,0.0801395595737382,0.08433890678946576,0.0020348721115130974,0.9099099099099099,664
MEDIAN_TOP3,0.25,5,0.04507259197830171,0.02370143277276926,0.19270851428811953,0.02370143277276926,0.0875734119634044,0.09088098566142677,-0.006015798125435179,0.8828828828828829,672
RISK_MEDIAN_TOP3,0.25,5,0.04168755409630154,0.01499110035085105,0.17054144470086574,0.01499110035085105,0.07705511750116423,0.07929055366920634,0.011483355728707179,0.8738738738738738,664
ALIGN_TOP3,0.35,5,0.063087674881523,-0.02477349566866094,0.18967210354115727,-0.02477349566866094,0.07790253696023552,0.07956588408535703,-0.0037170655763474336,0.8558558558558559,672
MEDIAN_TOP3,0.35,5,0.063087674881523,-0.025753173348602054,0.18967210354115727,-0.025753173348602054,0.07759430223813246,0.07925873959936647,-0.0037170655763480998,0.8558558558558559,672
RISK_MEDIAN_TOP3,0.35,5,0.05834768651027211,-0.03734537230011137,0.17872801801506988,-0.03734537230011137,0.06958916431033257,0.07005914084001308,0.013495724455647728,0.8378378378378378,664
P60_TOP5,0.15,5,0.02773669085276831,0.12265724343608675,-0.04365781138818381,-0.04365781138818381,0.03401644080069044,0.03844760917220502,-0.02384078893300201,0.9369369369369369,772
P60_TOP5,0.25,5,0.05103470626591888,0.07320086189683328,-0.04370329415636687,-0.04370329415636687,0.02856333201368466,0.03073378977602692,-0.02182319946555944,0.8558558558558559,772
P60_TOP5,0.35,5,0.07342643584350217,0.01980144553292973,-0.050831985908398325,-0.050831985908398325,0.018440541672938293,0.018576092824975188,-0.019919453234222728,0.8288288288288288,772
BEST_TOP2,0.15,5,-0.021594145418863064,-0.07432840990445877,0.14885839459355132,-0.07432840990445877,0.01897109454487156,0.022874911769079187,-0.0009636283451978089,0.6036036036036037,524
BEST_TOP2,0.25,5,-0.025007940967327835,-0.14054170623033568,0.13400787921097113,-0.14054170623033568,-0.0071162248841487585,-0.004615050137707799,0.007803336040917985,0.5045045045045045,524
BEST_TOP2,0.35,5,-0.028542392669810512,-0.2093445252303836,0.110434274664172,-0.2093445252303836,-0.03742955532850578,-0.036107941257500054,0.007249858496043982,0.46846846846846846,524
P60_TOP5,0.25,10,-0.3855076725975124,-0.17954448496904785,-0.1456595263392504,-0.3855076725975124,-0.24200765608028185,-0.21797746204997814,-0.19126386177728738,0.26126126126126126,854
P60_TOP5,0.15,10,-0.3855704750516047,-0.150766854618408,-0.1003124731353977,-0.3855704750516047,-0.2202900522236393,-0.19534769082182057,-0.1905281866899614,0.2972972972972973,854
P60_TOP5,0.35,10,-0.3860790458012602,-0.21120590620797486,-0.1983387069523619,-0.3860790458012602,-0.2670588250241185,-0.24376827211300034,-0.1964868742353595,0.25225225225225223,854
ALIGN_TOP3,0.35,10,-0.3873376846951673,-0.13117806479372285,-0.25531176752222073,-0.3873376846951673,-0.2581680986215371,-0.2362377450120572,-0.1964868742353595,0.27927927927927926,697
MEDIAN_TOP3,0.35,10,-0.3873376846951673,-0.13117806479372285,-0.25531176752222073,-0.3873376846951673,-0.2581680986215371,-0.2362377450120572,-0.1964868742353595,0.27927927927927926,697
ALIGN_TOP3,0.25,10,-0.3885028166389308,-0.11523852554640046,-0.2017511033677628,-0.3885028166389308,-0.2381199707098569,-0.21556409097727913,-0.19126386177728738,0.3153153153153153,697
MEDIAN_TOP3,0.25,10,-0.3885028166389308,-0.11523852554640046,-0.2017511033677628,-0.3885028166389308,-0.2381199707098569,-0.21556409097727913,-0.19126386177728738,0.3153153153153153,697
RISK_MEDIAN_TOP3,0.35,10,-0.38875475029290696,-0.16607037032454453,-0.23683423588429808,-0.38875475029290696,-0.2638823058181714,-0.24233521169057992,-0.1964868742353595,0.27927927927927926,694
RISK_MEDIAN_TOP3,0.25,10,-0.3895289753238671,-0.12820260758640722,-0.19397758447552782,-0.3895289753238671,-0.24023470208835895,-0.21793629403333048,-0.19126386177728738,0.32432432432432434,694
ALIGN_TOP3,0.15,10,-0.39027400582180327,-0.10189345224690405,-0.15416908562296694,-0.39027400582180327,-0.22106390780520768,-0.19772124844388161,-0.1905281866899614,0.36036036036036034,697
MEDIAN_TOP3,0.15,10,-0.39027400582180327,-0.10189345224690405,-0.15416908562296694,-0.39027400582180327,-0.22106390780520768,-0.19772124844388161,-0.1905281866899614,0.36036036036036034,697
RISK_MEDIAN_TOP3,0.15,10,-0.3908974372015639,-0.09317824340140046,-0.15705403775351678,-0.3908974372015639,-0.21952273795768384,-0.1963192158554381,-0.1905281866899614,0.36936936936936937,694
BEST_TOP2,0.35,10,-0.4166197711589521,-0.02766380665997903,-0.35727771363899363,-0.4166197711589521,-0.2692316777184942,-0.25005999406090995,-0.176457165819346,0.38738738738738737,565
BEST_TOP2,0.25,10,-0.4177186518360152,-0.0049883012159084306,-0.2784259242931547,-0.4177186518360152,-0.2388263077392494,-0.21939053379243212,-0.17645716581934578,0.40540540540540543,565
BEST_TOP2,0.15,10,-0.41889407653270117,0.014940869019841707,-0.20518978236821783,-0.41889407653270117,-0.21157795269183044,-0.19169461066565074,-0.17645716581934545,0.4144144144144144,565
P60_TOP5,0.15,20,-0.5577761047256309,-0.6509495081709649,0.03260783066147299,-0.6509495081709649,-0.409385773534632,-0.37220351570779997,-0.12458163750999984,0.05405405405405406,771
P60_TOP5,0.25,20,-0.5587082777282579,-0.6847264041516788,-0.007459315634974706,-0.6847264041516788,-0.430267624265082,-0.3932842077996823,-0.1377050957693272,0.05405405405405406,771
P60_TOP5,0.35,20,-0.5606446328274659,-0.7191340062622744,-0.053568687324304864,-0.7191340062622744,-0.45320067542265274,-0.41632085363677285,-0.15058641324261346,0.05405405405405406,771
BEST_TOP2,0.15,20,-0.759997150230968,-0.6631656864081094,-0.060311286222176186,-0.759997150230968,-0.53083219528521,-0.4941454115259807,-0.31130917213662335,0.05405405405405406,601
BEST_TOP2,0.25,20,-0.7612668470732319,-0.7054083586063508,-0.13187109949734066,-0.7612668470732319,-0.5621534994605047,-0.5256243941808357,-0.31130917213662335,0.05405405405405406,601
BEST_TOP2,0.35,20,-0.7625474350888839,-0.7483292006152124,-0.21186998883054486,-0.7625474350888839,-0.5954758527179603,-0.5589830139952042,-0.31130917213662335,0.04504504504504504,601
ALIGN_TOP3,0.15,20,-0.7706319507575107,-0.6477541633850177,0.08287535962673065,-0.7706319507575107,-0.4848881002362557,-0.4471003700053242,-0.19517017895429034,0.06306306306306306,692
MEDIAN_TOP3,0.15,20,-0.7706319507575107,-0.6477541633850177,0.08287535962673065,-0.7706319507575107,-0.4848881002362557,-0.4471003700053242,-0.19517017895429034,0.06306306306306306,692
RISK_MEDIAN_TOP3,0.15,20,-0.7706319507575107,-0.635137563550703,-0.17451464796991534,-0.7706319507575107,-0.5530654944813329,-0.5155045096865157,-0.19517017895429034,0.009009009009009009,712
ALIGN_TOP3,0.25,20,-0.7719955944372092,-0.6793933280637152,0.017785260038990947,-0.7719955944372092,-0.5106060286272465,-0.472963092158445,-0.2034995339546578,0.06306306306306306,692
MEDIAN_TOP3,0.25,20,-0.7719955944372092,-0.6793933280637152,0.017785260038990947,-0.7719955944372092,-0.5106060286272465,-0.472963092158445,-0.2034995339546578,0.06306306306306306,692
RISK_MEDIAN_TOP3,0.25,20,-0.7719955944372092,-0.6583604226449395,-0.26684765630184004,-0.7719955944372092,-0.584875043066214,-0.5475721300915333,-0.2034995339546578,0.0,712
ALIGN_TOP3,0.35,20,-0.7739949551579619,-0.7116567697111723,-0.052781082067507645,-0.7739949551579619,-0.5380555895064782,-0.5004611907829298,-0.21178898039195826,0.04504504504504504,692
MEDIAN_TOP3,0.35,20,-0.7739949551579619,-0.7116567697111723,-0.052781082067507645,-0.7739949551579619,-0.5380555895064782,-0.5004611907829298,-0.21178898039195826,0.04504504504504504,692
RISK_MEDIAN_TOP3,0.35,20,-0.7739949551579619,-0.6822839116913888,-0.36377224609507486,-0.7739949551579619,-0.6182976669379162,-0.5811539010168868,-0.21178898039195826,0.0,712
