month_end,eligible_exposures,phase1_code_matches,phase1_code_coverage
2014-01-30,3,0,0.0
2014-02-28,3,0,0.0
2014-03-31,3,0,0.0
2014-04-30,3,0,0.0
2014-05-30,2,0,0.0
2014-06-30,4,1,0.25
2014-07-31,3,0,0.0
2014-08-29,2,0,0.0
2014-09-30,4,1,0.25
2014-10-31,4,1,0.25
2014-11-28,4,1,0.25
2014-12-31,3,0,0.0
2015-01-30,3,0,0.0
2015-02-27,4,1,0.25
2015-03-31,4,1,0.25
2015-04-30,5,1,0.2
2015-05-29,4,1,0.25
2015-06-30,4,1,0.25
2015-07-31,4,1,0.25
2015-08-31,3,1,0.3333333333333333
2015-09-30,4,1,0.25
2015-10-30,4,1,0.25
2015-11-30,4,1,0.25
2015-12-31,5,1,0.2
2016-01-29,5,1,0.2
2016-02-29,4,1,0.25
2016-03-31,4,1,0.25
2016-04-29,4,1,0.25
2016-05-31,4,1,0.25
2016-06-30,4,1,0.25
2016-07-29,4,1,0.25
2016-08-31,4,1,0.25
2016-09-30,4,1,0.25
2016-10-31,4,1,0.25
2016-11-30,4,1,0.25
2016-12-30,4,1,0.25
2017-01-26,4,1,0.25
2017-02-28,4,1,0.25
2017-03-31,4,1,0.25
2017-04-28,4,1,0.25
2017-05-31,4,1,0.25
2017-06-30,4,1,0.25
2017-07-31,4,1,0.25
2017-08-31,5,1,0.2
2017-09-29,5,1,0.2
2017-10-31,5,1,0.2
2017-11-30,5,1,0.2
2017-12-29,5,1,0.2
2018-01-31,5,1,0.2
2018-02-28,5,1,0.2
2018-03-30,5,1,0.2
2018-04-27,5,1,0.2
2018-05-31,6,1,0.16666666666666666
2018-06-29,6,1,0.16666666666666666
2018-07-31,6,1,0.16666666666666666
2018-08-31,6,1,0.16666666666666666
2018-09-28,6,1,0.16666666666666666
2018-10-31,7,1,0.14285714285714285
2018-11-30,7,1,0.14285714285714285
2018-12-28,7,1,0.14285714285714285
2019-01-31,7,1,0.14285714285714285
2019-02-28,7,1,0.14285714285714285
2019-03-29,9,1,0.1111111111111111
2019-04-30,9,1,0.1111111111111111
2019-05-31,8,1,0.125
2019-06-28,8,1,0.125
2019-07-31,8,1,0.125
2019-08-30,9,1,0.1111111111111111
2019-09-30,9,1,0.1111111111111111
2019-10-31,8,1,0.125
2019-11-29,7,1,0.14285714285714285
2019-12-31,7,1,0.14285714285714285
2020-01-23,7,1,0.14285714285714285
2020-02-28,7,1,0.14285714285714285
2020-03-31,8,1,0.125
2020-04-30,8,1,0.125
2020-05-29,9,1,0.1111111111111111
2020-06-30,9,1,0.1111111111111111
2020-07-31,9,1,0.1111111111111111
2020-08-31,10,1,0.1
2020-09-30,9,1,0.1111111111111111
2020-10-30,9,1,0.1111111111111111
2020-11-30,9,1,0.1111111111111111
2020-12-31,9,1,0.1111111111111111
2021-01-29,9,1,0.1111111111111111
2021-02-26,11,1,0.09090909090909091
2021-03-31,10,1,0.1
2021-04-30,10,1,0.1
2021-05-31,10,1,0.1
2021-06-30,10,1,0.1
2021-07-30,10,1,0.1
2021-08-31,10,1,0.1
2021-09-30,10,1,0.1
2021-10-29,10,1,0.1
2021-11-30,10,1,0.1
2021-12-31,10,1,0.1
2022-01-28,10,1,0.1
2022-02-28,10,1,0.1
2022-03-31,10,1,0.1
2022-04-29,10,1,0.1
2022-05-31,10,1,0.1
2022-06-30,10,1,0.1
2022-07-29,12,1,0.08333333333333333
2022-08-31,11,1,0.09090909090909091
2022-09-30,12,1,0.08333333333333333
2022-10-31,13,1,0.07692307692307693
2022-11-30,14,1,0.07142857142857142
2022-12-30,14,1,0.07142857142857142
2023-01-31,15,1,0.06666666666666667
2023-02-28,13,1,0.07692307692307693
2023-03-31,15,1,0.06666666666666667
2023-04-28,16,1,0.0625
2023-05-31,18,1,0.05555555555555555
2023-06-30,19,1,0.05263157894736842
2023-07-31,19,1,0.05263157894736842
2023-08-31,20,2,0.1
2023-09-28,20,2,0.1
2023-10-31,20,2,0.1
2023-11-30,20,2,0.1
2023-12-29,19,2,0.10526315789473684
2024-01-31,15,2,0.13333333333333333
2024-02-29,19,3,0.15789473684210525
2024-03-29,19,3,0.15789473684210525
2024-04-30,20,3,0.15
2024-05-31,19,3,0.15789473684210525
2024-06-28,18,3,0.16666666666666666
2024-07-31,18,3,0.16666666666666666
2024-08-30,19,3,0.15789473684210525
2024-09-30,24,3,0.125
2024-10-31,21,3,0.14285714285714285
2024-11-29,23,3,0.13043478260869565
2024-12-31,22,3,0.13636363636363635
2025-01-27,21,3,0.14285714285714285
2025-02-28,20,3,0.15
2025-03-31,22,2,0.09090909090909091
2025-04-30,23,2,0.08695652173913043
2025-05-30,23,2,0.08695652173913043
2025-06-30,25,2,0.08
2025-07-31,26,2,0.07692307692307693
2025-08-29,32,4,0.125
2025-09-30,34,3,0.08823529411764706
2025-10-31,35,3,0.08571428571428572
2025-11-28,36,4,0.1111111111111111
2025-12-31,37,4,0.10810810810810811
2026-01-30,41,5,0.12195121951219512
2026-02-27,41,5,0.12195121951219512
2026-03-31,41,6,0.14634146341463414
2026-04-30,40,6,0.15
2026-05-29,72,22,0.3055555555555556
2026-06-30,71,22,0.30985915492957744
2026-07-31,76,22,0.2894736842105263
2026-08-14,77,22,0.2857142857142857
