month_end,ts_code,extname,index_name,exposure_key,estimated_size_yi,amount_yi,covered_by_phase1_pool
2014-01-30,510050.SH,华夏上证50ETF,上证50,上证50,212.38525,32.3531984,False
2014-01-30,510180.SH,华安上证180ETF,上证180,上证180,120.903,15.790204399999999,False
2014-01-30,159901.SZ,易方达深证100ETF,深证100,深证100,114.9759574595,7.762590240000001,False
2014-02-28,510050.SH,华夏上证50ETF,上证50,上证50,202.24623,67.3275169,False
2014-02-28,510180.SH,华安上证180ETF,上证180,上证180,117.747,11.6966278,False
2014-02-28,159901.SZ,易方达深证100ETF,深证100,深证100,109.2531258108,24.530439129999998,False
2014-03-31,510050.SH,华夏上证50ETF,上证50,上证50,204.11917732248,53.3626235,False
2014-03-31,510180.SH,华安上证180ETF,上证180,上证180,116.74109763483,5.7257699,False
2014-03-31,159901.SZ,易方达深证100ETF,深证100,深证100,98.6816341719,15.33463444,False
2014-04-30,510050.SH,华夏上证50ETF,上证50,上证50,205.17983999999998,42.1572323,False
2014-04-30,510180.SH,华安上证180ETF,上证180,上证180,115.9846,8.835956900000001,False
2014-04-30,159901.SZ,易方达深证100ETF,深证100,深证100,96.6292474987,13.871186240000002,False
2014-05-30,510050.SH,华夏上证50ETF,上证50,上证50,202.60009000000002,43.883962800000006,False
2014-05-30,159901.SZ,易方达深证100ETF,深证100,深证100,96.0060374889,9.93133222,False
2014-06-30,510050.SH,华夏上证50ETF,上证50,上证50,211.50464435229003,64.1354715,False
2014-06-30,510180.SH,华安上证180ETF,上证180,上证180,121.86876839927,10.7763408,False
2014-06-30,159901.SZ,易方达深证100ETF,深证100,深证100,97.78037414250001,12.11580314,False
2014-06-30,510500.SH,南方中证500ETF,中证500,中证500,50.03047318941,1.0324866,True
2014-07-31,510050.SH,华夏上证50ETF,上证50,上证50,223.52721999999997,75.6910719,False
2014-07-31,510180.SH,华安上证180ETF,上证180,上证180,141.772,23.2246837,False
2014-07-31,159901.SZ,易方达深证100ETF,深证100,深证100,105.38009240559998,23.91331255,False
2014-08-29,510050.SH,华夏上证50ETF,上证50,上证50,210.19473,75.4963197,False
2014-08-29,510180.SH,华安上证180ETF,上证180,上证180,138.41665000000003,12.2351439,False
2014-09-30,510050.SH,华夏上证50ETF,上证50,上证50,184.21906217161998,48.573686800000004,False
2014-09-30,510180.SH,华安上证180ETF,上证180,上证180,121.6816343306,11.966336199999999,False
2014-09-30,159901.SZ,易方达深证100ETF,深证100,深证100,88.51680003585,12.82465344,False
2014-09-30,510500.SH,南方中证500ETF,中证500,中证500,54.136495944210004,4.6051684,True
2014-10-31,510050.SH,华夏上证50ETF,上证50,上证50,182.2986,112.73961100000001,False
2014-10-31,510180.SH,华安上证180ETF,上证180,上证180,120.17625,50.8129417,False
2014-10-31,159901.SZ,易方达深证100ETF,深证100,深证100,85.15612237115,29.722484240000004,False
2014-10-31,510500.SH,南方中证500ETF,中证500,中证500,53.360119999999995,6.6588171,True
2014-11-28,510050.SH,华夏上证50ETF,上证50,上证50,187.45247999999998,167.88637409999998,False
2014-11-28,510180.SH,华安上证180ETF,上证180,上证180,127.09082,106.3194756,False
2014-11-28,159901.SZ,易方达深证100ETF,深证100,深证100,92.51782456460002,37.07433417,False
2014-11-28,510500.SH,南方中证500ETF,中证500,中证500,51.44438,7.606567600000001,True
2014-12-31,510050.SH,华夏上证50ETF,上证50,上证50,259.17006363864,433.1522119,False
2014-12-31,510180.SH,华安上证180ETF,上证180,上证180,148.07295822627,89.7007321,False
2014-12-31,159901.SZ,易方达深证100ETF,深证100,深证100,95.87246952630001,50.05004217,False
2015-01-30,510050.SH,华夏上证50ETF,上证50,上证50,274.16961000000003,273.5094419,False
2015-01-30,510180.SH,华安上证180ETF,上证180,上证180,126.93966999999999,83.5555353,False
2015-01-30,159901.SZ,易方达深证100ETF,深证100,深证100,94.63515494340001,110.56422526,False
2015-02-27,510050.SH,华夏上证50ETF,上证50,上证50,288.1716,211.8466989,False
2015-02-27,510180.SH,华安上证180ETF,上证180,上证180,135.11631,66.04304520000001,False
2015-02-27,159901.SZ,易方达深证100ETF,深证100,深证100,96.61063118475,54.74969012,False
2015-02-27,510500.SH,南方中证500ETF,中证500,中证500,52.35048,7.621239599999999,True
2015-03-31,510050.SH,华夏上证50ETF,上证50,上证50,284.95416211198994,318.14261239999996,False
2015-03-31,510180.SH,华安上证180ETF,上证180,上证180,142.69504163857,99.29710250000001,False
2015-03-31,159901.SZ,易方达深证100ETF,深证100,深证100,89.69045605065001,82.89373127,False
2015-03-31,510500.SH,南方中证500ETF,中证500,中证500,63.14055623322,8.261163999999999,True
2015-04-30,510050.SH,华夏上证50ETF,上证50,上证50,334.0311,309.54343309999996,False
2015-04-30,159901.SZ,易方达深证100ETF,深证100,深证100,90.45647773085,79.39855607999999,False
2015-04-30,510500.SH,南方中证500ETF,中证500,中证500,63.857530000000004,6.566637200000001,True
2015-04-30,510900.SH,易方达恒生中国企业ETF(QDII),恒生国企,恒生国企,54.6756,43.978627,False
2015-04-30,510180.SH,华安上证180ETF,上证180,上证180,53.6575,132.7551096,False
2015-05-29,510050.SH,华夏上证50ETF,上证50,上证50,282.04134,572.4873763,False
2015-05-29,159901.SZ,易方达深证100ETF,深证100,深证100,96.5816304431,378.13324769,False
2015-05-29,510500.SH,南方中证500ETF,中证500,中证500,83.41927999999999,25.113494,True
2015-05-29,510180.SH,华安上证180ETF,上证180,上证180,52.02561,150.9920381,False
2015-06-30,510050.SH,华夏上证50ETF,上证50,上证50,392.52473224207,1857.4139197,False
2015-06-30,510180.SH,华安上证180ETF,上证180,上证180,92.38497217038,232.5132559,False
2015-06-30,159901.SZ,易方达深证100ETF,深证100,深证100,67.16423662105,409.51490505,False
2015-06-30,510500.SH,南方中证500ETF,中证500,中证500,63.179985841800004,86.584365,True
2015-07-31,510050.SH,华夏上证50ETF,上证50,上证50,392.63976,228.1135142,False
2015-07-31,510180.SH,华安上证180ETF,上证180,上证180,215.71662,77.94366380000001,False
2015-07-31,510500.SH,南方中证500ETF,中证500,中证500,191.0928,32.958013799999996,True
2015-07-31,159901.SZ,易方达深证100ETF,深证100,深证100,57.241320729349994,181.47238778,False
2015-08-31,510050.SH,华夏上证50ETF,上证50,上证50,328.65502000000004,266.2268535,False
2015-08-31,510180.SH,华安上证180ETF,上证180,上证180,182.68866,76.27302859999999,False
2015-08-31,510500.SH,南方中证500ETF,中证500,中证500,163.93596000000002,28.2270152,True
2015-09-30,510050.SH,华夏上证50ETF,上证50,上证50,285.55028627278995,24.0538238,False
2015-09-30,510180.SH,华安上证180ETF,上证180,上证180,173.97582827471,1.2025754000000002,False
2015-09-30,510500.SH,南方中证500ETF,中证500,中证500,161.05061597364,3.7248455999999996,True
