ts_code,extname,index_name,exposure_key,first_month,last_month,eligible_months,max_estimated_size_yi,max_amount_yi,list_date,list_status
510050.SH,华夏上证50ETF,上证50,上证50,2014-01-30,2026-08-14,152,1852.43203088,1857.4139197,2005-02-23,L
510180.SH,华安上证180ETF,上证180,上证180,2014-01-30,2026-08-14,151,244.43773303,232.5132559,2006-05-18,L
510500.SH,南方中证500ETF,中证500,中证500,2014-06-30,2026-08-14,143,1446.619465368,1142.8173744,2013-03-15,L
510900.SH,易方达恒生中国企业ETF(QDII),恒生国企,恒生国企,2015-04-30,2026-02-27,124,132.68321012772,305.81562560000003,2012-10-22,L
159901.SZ,易方达深证100ETF,深证100,深证100,2014-01-30,2026-04-30,109,114.9759574595,409.51490505,2006-04-24,L
510810.SH,汇添富中证上海国企ETF,中证上海国企,中证上海国企,2017-08-31,2026-08-14,108,129.40118953600003,10.7433517,2016-08-29,L
159949.SZ,华安创业板50ETF,深证创业板50,深证创业板50,2018-05-31,2026-08-14,100,309.52589617209,422.36987999999997,2016-07-22,L
159920.SZ,华夏恒生ETF(QDII),恒生指数,恒生指数,2019-03-29,2026-08-14,82,208.37405833290998,444.0748448,2012-10-22,L
159928.SZ,汇添富中证主要消费ETF,中证800消费,中证800消费,2020-05-29,2026-08-14,76,229.7794139312,153.3997273,2013-09-16,L
159995.SZ,华夏国证半导体芯片ETF,国证芯片,国证芯片,2021-02-26,2026-08-14,67,373.9293059034,192.58439860000001,2020-02-10,L
159781.SZ,易方达中证科创创业50ETF,科创创业50,科创创业50,2022-07-29,2026-08-14,50,182.28394146708,94.8976184,2021-07-05,L
159792.SZ,富国中证港股通互联网ETF,港股通互联网,港股通互联网,2023-03-31,2026-08-14,42,977.0903510359001,455.0914142,2021-09-28,L
159845.SZ,华夏中证1000ETF,中证1000,中证1000,2022-07-29,2026-04-30,42,503.26308997992,401.0874744,2021-03-31,L
159992.SZ,银华中证创新药产业ETF,中证CS创新药,中证CS创新药,2023-04-28,2026-08-14,41,181.56553957206,139.25207437,2020-04-10,L
159869.SZ,华夏中证动漫游戏ETF,中证动漫游戏,中证动漫游戏,2023-05-31,2026-08-14,38,144.1348058193,125.63189069999999,2021-03-05,L
159819.SZ,易方达中证人工智能主题ETF,中证CS人工智,中证CS人工智,2024-02-29,2026-08-14,31,264.29375456097,219.0122427,2020-09-23,L
159736.SZ,天弘中证食品饮料ETF,中证CS食品饮,中证CS食品饮,2022-09-30,2026-04-30,31,72.95249111526,25.5587962,2021-09-27,L
510210.SH,富国上证综指ETF,上证综指,上证综指,2023-08-31,2026-08-14,30,189.82462785,171.6994028,2011-03-25,L
159605.SZ,广发中证海外中国互联网30ETF(QDII),中证中国互联网30,中证中国互联网30,2022-12-30,2025-09-30,30,82.0782592084,458.63351509999995,2021-12-02,L
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),纳斯达克科技市值加权,纳斯达克科技市值加权,2024-08-30,2026-08-14,25,189.97267454542,316.7672033,2023-08-08,L
159636.SZ,工银瑞信国证港股通科技ETF,国证港股通科技,国证港股通科技,2024-11-29,2026-08-14,22,408.82750721433,214.11840440000003,2022-07-20,L
159841.SZ,天弘中证全指证券公司ETF,中证证券公司,中证证券公司,2024-09-30,2026-04-30,17,106.44117257234998,61.642280299999996,2021-02-09,L
159865.SZ,国泰中证畜牧养殖ETF,中证畜牧,中证畜牧,2023-06-30,2026-08-14,17,78.96998355714,30.5627935,2021-03-08,L
159938.SZ,广发中证全指医药卫生ETF,中证全指医药,中证全指医药,2023-08-31,2026-03-31,17,71.98933889112,14.177083799999998,2015-01-08,L
159755.SZ,广发国证新能源车电池ETF,国证新能电池,国证新能电池,2023-05-31,2026-08-14,16,167.35077888060002,192.230539,2021-06-24,L
