config,rule,corr_cap,delta_D,delta_V,min_DV_delta,sharpe_DV,delta_T_not_used_for_selection,full_sharpe,full_annual_return,full_max_drawdown,satellite_days,mean_relative_eligible_assets
ALIGN|corr=none,ALIGN,,-0.00811462617678016,0.0018573650364793748,-0.00811462617678016,1.2312350717587617,0.11765967741101724,1.2750274400494235,0.3462350339378648,-0.27864234563860635,953,2.4269882659713167
ALIGN|corr=0.85,ALIGN,0.85,0.03185594267417957,-0.008443207607943815,-0.008443207607943815,1.249561519040811,0.12355327279679673,1.2892456457805122,0.34883599734969084,-0.2858055016716541,676,1.801825293350717
REL_ALL_WINNER|corr=0.85,REL_ALL_WINNER,0.85,-0.020355251691581477,0.056188711734419416,-0.020355251691581477,1.2493397123300647,-0.0025437166670418954,1.2476901794124895,0.3352280404073391,-0.28580550167165397,503,0.31584093872229463
REL_ALL_WINNER|corr=none,REL_ALL_WINNER,,-0.0342911989834882,-0.0031827435187337105,-0.0342911989834882,1.2140226198220165,-0.003136568787814875,1.2241896410681372,0.3280411359801265,-0.28919068639315726,733,0.4970664928292047
REL_ALL_BEST|corr=0.85,REL_ALL_BEST,0.85,-0.04299929374678002,-0.05006712385855594,-0.05006712385855594,1.1886269324689736,-0.050834726708320455,1.1886374474257348,0.32043226825370175,-0.2980575909489567,318,0.20632333767926989
REL_TREND_BEST|corr=none,REL_TREND_BEST,,0.010780323392955315,-0.050995434398258044,-0.050995434398258044,1.216089152397392,0.07327615647437757,1.2503964420379956,0.33781577458171985,-0.28919068639315726,813,0.8252933507170795
REL_TREND_WINNER|corr=none,REL_TREND_WINNER,,-0.015575999495902826,-0.05422780239287306,-0.05422780239287306,1.2005340344932858,0.07318394643684556,1.2400128847991858,0.33428011057356977,-0.28919068639315715,879,1.0514993481095176
REL_TREND_WINNER|corr=0.85,REL_TREND_WINNER,0.85,-0.0154063485389071,-0.08199047326679876,-0.08199047326679876,1.1903676015532347,0.09432845866803907,1.240037860698341,0.33149974040043473,-0.28580550167165397,618,0.7539113428943938
REL_TREND_BEST|corr=0.85,REL_TREND_BEST,0.85,0.01945127244015077,-0.0842055656843489,-0.0842055656843489,1.2084061073414072,0.08692657902153789,1.2496267667519687,0.3346917362784687,-0.28580550167165386,569,0.5788787483702738
REL_ALL_BEST|corr=none,REL_ALL_BEST,,-0.09706940538441389,-0.09970162105900526,-0.09970162105900526,1.1362940201947964,-0.11265247380201004,1.1339966607882161,0.3015267435306812,-0.29692378491884885,466,0.31877444589308995
