asset,name,sleeve,holding_days,average_weight_when_held,average_weight_all_days
513100.SH,纳指ETF,core,1006,0.9765904572564613,0.32022490221642763
518880.SH,黄金ETF,core,835,1.0,0.27216427640156454
159915.SZ,创业板ETF,core,736,0.9594429347826087,0.23016623207301176
510300.SH,沪深300ETF,core,491,0.9370672097759674,0.14996740547588006
159949.SZ,华安创业板50ETF,domestic_broad,119,0.13420567489055113,0.005205500427632199
510050.SH,华夏上证50ETF,domestic_broad,109,0.13664238970217368,0.004854635096980747
510900.SH,易方达恒生中国企业ETF(QDII),overseas_broad,67,0.12242880783369593,0.002673640849040947
510180.SH,华安上证180ETF,domestic_broad,50,0.15000000000000002,0.0024445893089960887
510500.SH,南方中证500ETF,domestic_broad,45,0.146129944974664,0.0021433662072555017
159995.SZ,华夏国证半导体芯片ETF,tmt,53,0.11170267119926573,0.0019296745676535476
159516.SZ,国泰中证半导体材料设备主题ETF,tmt,38,0.1388805616639281,0.0017201634104397868
159901.SZ,易方达深证100ETF,domestic_broad,31,0.13858410662086182,0.0014002957318274825
159781.SZ,易方达中证科创创业50ETF,domestic_broad,30,0.11306708424075664,0.001105610341337255
510810.SH,汇添富中证上海国企ETF,domestic_broad,20,0.13757232554035267,0.0008968208966124687
159992.SZ,银华中证创新药产业ETF,healthcare,15,0.14999999999999997,0.0007333767926988266
159636.SZ,工银瑞信国证港股通科技ETF,tmt,10,0.14999999999999997,0.0004889178617992178
159928.SZ,汇添富中证主要消费ETF,consumer,15,0.0744831128285627,0.0003641612426429076
159819.SZ,易方达中证人工智能主题ETF,tmt,10,0.11006077224763303,0.0003587378495685561
159605.SZ,广发中证海外中国互联网30ETF(QDII),tmt,10,0.10532493976054438,0.00034330162894571177
159869.SZ,华夏中证动漫游戏ETF,tmt,5,0.15,0.0002444589308996089
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),tmt,5,0.15,0.0002444589308996089
159870.SZ,鹏华中证细分化工产业主题ETF,cyclical,5,0.15,0.0002444589308996089
159736.SZ,天弘中证食品饮料ETF,consumer,5,0.04971069783858917,8.10148269859667e-05
516650.SH,华夏中证细分有色金属产业主题ETF,cyclical,0,0.0,0.0
516150.SH,嘉实中证稀土产业ETF,cyclical,0,0.0,0.0
512660.SH,国泰中证军工ETF,defense,0,0.0,0.0
512710.SH,富国中证军工龙头ETF,defense,0,0.0,0.0
515790.SH,华泰柏瑞中证光伏产业ETF,energy,0,0.0,0.0
560860.SH,万家中证工业有色金属主题ETF,cyclical,0,0.0,0.0
512800.SH,华宝中证银行ETF,financial,0,0.0,0.0
159766.SZ,富国中证旅游主题ETF,consumer,0,0.0,0.0
512010.SH,易方达沪深300医药卫生ETF,healthcare,0,0.0,0.0
512760.SH,国泰CES半导体芯片行业ETF,tmt,0,0.0,0.0
515220.SH,国泰中证煤炭ETF,cyclical,0,0.0,0.0
512690.SH,鹏华中证酒ETF,consumer,0,0.0,0.0
513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),tmt,0,0.0,0.0
512070.SH,易方达沪深300非银行金融ETF,financial,0,0.0,0.0
588220.SH,鹏华上证科创板100ETF,domestic_broad,0,0.0,0.0
513980.SH,景顺长城中证港股通科技ETF,tmt,0,0.0,0.0
562500.SH,华夏中证机器人ETF,manufacturing,0,0.0,0.0
513750.SH,广发中证港股通非银行金融主题ETF,financial,0,0.0,0.0
515980.SH,华富中证人工智能产业ETF,tmt,0,0.0,0.0
159601.SZ,华夏MSCI中国A50互联互通ETF,overseas_broad,0,0.0,0.0
562800.SH,嘉实中证稀有金属主题ETF,cyclical,0,0.0,0.0
159883.SZ,永赢中证全指医疗器械ETF,healthcare,0,0.0,0.0
516160.SH,南方中证新能源ETF,energy,0,0.0,0.0
159338.SZ,国泰中证A500ETF,domestic_broad,0,0.0,0.0
159361.SZ,易方达中证A500ETF,domestic_broad,0,0.0,0.0
159262.SZ,广发恒生港股通科技主题ETF,tmt,0,0.0,0.0
515800.SH,汇添富中证800ETF,domestic_broad,0,0.0,0.0
515230.SH,国泰中证全指软件ETF,tmt,0,0.0,0.0
159316.SZ,易方达恒生港股通创新药ETF,healthcare,0,0.0,0.0
563300.SH,华泰柏瑞中证2000ETF,domestic_broad,0,0.0,0.0
159263.SZ,易方达国证价值100ETF,domestic_broad,0,0.0,0.0
159652.SZ,汇添富中证细分有色金属产业主题ETF,cyclical,0,0.0,0.0
515050.SH,华夏中证5G通信主题ETF,tmt,0,0.0,0.0
561380.SH,国泰恒生A股电网设备ETF,manufacturing,0,0.0,0.0
561980.SH,招商中证半导体产业ETF,tmt,0,0.0,0.0
159842.SZ,银华中证全指证券公司ETF,financial,0,0.0,0.0
513060.SH,博时恒生医疗保健ETF(QDII),healthcare,0,0.0,0.0
159608.SZ,广发中证稀有金属主题ETF,cyclical,0,0.0,0.0
512950.SH,华夏中证央企结构调整ETF,domestic_broad,0,0.0,0.0
513090.SH,易方达中证香港证券投资主题ETF,financial,0,0.0,0.0
513180.SH,华夏恒生科技ETF(QDII),tmt,0,0.0,0.0
512480.SH,国联安中证全指半导体产品与设备ETF,tmt,0,0.0,0.0
512400.SH,南方中证申万有色金属ETF,cyclical,0,0.0,0.0
159593.SZ,平安中证A50ETF,domestic_broad,0,0.0,0.0
159796.SZ,汇添富中证电池主题ETF,energy,0,0.0,0.0
159770.SZ,天弘中证机器人ETF,manufacturing,0,0.0,0.0
159852.SZ,嘉实中证软件服务ETF,tmt,0,0.0,0.0
159530.SZ,易方达国证机器人产业ETF,manufacturing,0,0.0,0.0
510230.SH,国泰上证180金融ETF,financial,0,0.0,0.0
159851.SZ,华宝中证金融科技主题ETF,financial,0,0.0,0.0
159740.SZ,大成恒生科技ETF(QDII),tmt,0,0.0,0.0
159570.SZ,汇添富国证港股通创新药ETF,healthcare,0,0.0,0.0
159755.SZ,广发国证新能源车电池ETF,energy,0,0.0,0.0
159938.SZ,广发中证全指医药卫生ETF,healthcare,0,0.0,0.0
159865.SZ,国泰中证畜牧养殖ETF,consumer,0,0.0,0.0
159841.SZ,天弘中证全指证券公司ETF,financial,0,0.0,0.0
510210.SH,富国上证综指ETF,domestic_broad,0,0.0,0.0
159845.SZ,华夏中证1000ETF,domestic_broad,0,0.0,0.0
159792.SZ,富国中证港股通互联网ETF,tmt,0,0.0,0.0
159920.SZ,华夏恒生ETF(QDII),overseas_broad,0,0.0,0.0
159892.SZ,华夏恒生生物科技ETF(QDII),healthcare,0,0.0,0.0
159326.SZ,华夏中证电网设备主题ETF,manufacturing,0,0.0,0.0
159363.SZ,华宝创业板人工智能ETF,tmt,0,0.0,0.0
563360.SH,华泰柏瑞中证A500ETF,domestic_broad,0,0.0,0.0
512170.SH,华宝中证医疗ETF,healthcare,0,0.0,0.0
513120.SH,广发中证香港创新药ETF(QDII),healthcare,0,0.0,0.0
513500.SH,博时标普500ETF(QDII),overseas_broad,0,0.0,0.0
513330.SH,华夏恒生互联网科技业ETF(QDII),tmt,0,0.0,0.0
512100.SH,南方中证1000ETF,domestic_broad,0,0.0,0.0
513050.SH,易方达中证海外中国互联网50ETF(QDII),tmt,0,0.0,0.0
588170.SH,华夏上证科创板半导体材料设备主题ETF,tmt,0,0.0,0.0
515880.SH,国泰中证全指通信设备ETF,tmt,0,0.0,0.0
159206.SZ,永赢国证商用卫星通信产业ETF,tmt,0,0.0,0.0
512880.SH,国泰中证全指证券公司ETF,financial,0,0.0,0.0
588200.SH,嘉实上证科创板芯片ETF,tmt,0,0.0,0.0
588000.SH,华夏上证科创板50成份ETF,domestic_broad,0,0.0,0.0
159352.SZ,南方中证A500ETF,domestic_broad,0,0.0,0.0
159967.SZ,华夏创业板动量成长ETF,domestic_broad,0,0.0,0.0
159566.SZ,易方达国证新能源电池ETF,energy,0,0.0,0.0
159611.SZ,广发中证全指电力公用事业ETF,utility,0,0.0,0.0
159732.SZ,华夏国证消费电子主题ETF,consumer,0,0.0,0.0
