field,asset,non_null,coverage,first_valid,last_valid,median,p95
downside_lpm20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.006524856379464697,0.01962539031349804
downside_lpm20,159915.SZ,3047,0.9931551499348109,2014-01-02,2026-08-14,0.010173679144242732,0.028444674980739545
downside_lpm20,513100.SH,3047,0.9931551499348109,2014-01-02,2026-08-14,0.006588870126666648,0.017678858937825663
downside_lpm20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.004635748754513118,0.010679210889567609
cvar20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.01260126930327475,0.034995447990102624
cvar20,159915.SZ,3047,0.9931551499348109,2014-01-02,2026-08-14,0.019646155430461526,0.052634182864188556
cvar20,513100.SH,3047,0.9931551499348109,2014-01-02,2026-08-14,0.013025970394899417,0.03554492125465422
cvar20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.009080188342228734,0.021472957736764914
range20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.01365263076884091,0.0300815557465648
range20,159915.SZ,3047,0.9931551499348109,2014-01-02,2026-08-14,0.021324079521293934,0.04607230106559043
range20,513100.SH,3047,0.9931551499348109,2014-01-02,2026-08-14,0.007326794840530894,0.02096495060006269
range20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.005074568442085898,0.011550077171145017
gap_tail20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.005217215386545116,0.016094133916548924
gap_tail20,159915.SZ,3047,0.9931551499348109,2014-01-02,2026-08-14,0.007118692467916377,0.024080151014445893
gap_tail20,513100.SH,3047,0.9931551499348109,2014-01-02,2026-08-14,0.01421908195707822,0.03207300527832509
gap_tail20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.009045878931723995,0.02292290532465803
amihud20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.3412698412698413,0.9787698412698416
amihud20,159915.SZ,3047,0.9931551499348109,2014-01-02,2026-08-14,0.376984126984127,0.9603174603174603
amihud20,513100.SH,3047,0.9931551499348109,2014-01-02,2026-08-14,0.30735930735930733,0.9444444444444444
amihud20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.3611111111111111,0.9795181990321902
amount_shock20,510300.SH,3068,1.0,2014-01-02,2026-08-14,1.0856734462411923,1.7492581693119544
amount_shock20,159915.SZ,3008,0.9804432855280313,2014-01-02,2026-08-14,1.0395302575705874,1.8084623327648843
amount_shock20,513100.SH,3008,0.9804432855280313,2014-01-02,2026-08-14,1.1160097272403102,2.5560434621661114
amount_shock20,518880.SH,3068,1.0,2014-01-02,2026-08-14,1.0436844063982589,2.190167614350972
share_flow20,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.02272754212566676,3.1263023729361645
share_flow20,159915.SZ,3068,1.0,2014-01-02,2026-08-14,6.172369215510312e-05,2.6451826876560363
share_flow20,513100.SH,3068,1.0,2014-01-02,2026-08-14,0.0,4.597477708429885
share_flow20,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.0,2.5592798494948408
premium_crowding,510300.SH,3068,1.0,2014-01-02,2026-08-14,0.0016704182261847267,2.1209231466521725
premium_crowding,159915.SZ,3067,0.9996740547588006,2014-01-02,2026-08-14,0.0,1.9645691014874334
premium_crowding,513100.SH,3067,0.9996740547588006,2014-01-02,2026-08-14,0.02521211871668223,2.347663544558668
premium_crowding,518880.SH,3068,1.0,2014-01-02,2026-08-14,0.00261410641038452,2.174572148689412
