candidate,threshold,momentum_cap,maximum_budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_trigger_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_trigger_days,robust_score,eligible_DV_triple
P10_13,0.8,0.2,0.25,260,0.1107935851491415,0.04043508818536945,0.006944527879746476,93,0.06897323402240663,0.019331528707062784,0.015773730686781312,76,1.3794646804481325,True
P10_14,0.8,0.2,0.35,260,0.11728803652045139,0.03948385306547686,0.007696730623212092,93,0.06582046571856692,0.017231871340777305,0.015372397405075205,76,1.3164093143713385,True
P10_17,0.8,0.25,0.35,300,0.06306412892778224,0.021618075443541773,0.008925734355507295,115,0.06379755014309907,0.014248941908118873,0.014746479686662942,85,1.2612825785556447,True
P10_18,0.8,0.25,0.45,300,0.06735754894855628,0.01972034981182258,0.010504847157821934,115,0.06315329763481137,0.012542890935864026,0.014488462886688994,85,1.2542890935864026,True
P10_15,0.8,0.2,0.45,260,0.12320237864027184,0.038495615353223656,0.008319889800005795,93,0.062169276182933,0.015102961772788248,0.014972437730573412,76,1.24338552365866,True
P10_16,0.8,0.25,0.25,300,0.05794707960304968,0.02346712480221158,0.008197665821890007,115,0.0638318879829528,0.015914428347820975,0.015004580796934855,85,1.1589415920609936,True
P10_04,0.775,0.2,0.25,313,0.020115737719532012,0.011292561156365455,0.004543024469310292,119,0.07050907040368848,0.02472323962126155,0.004146468466972614,91,0.40231475439064024,True
P10_05,0.775,0.2,0.35,313,0.01770790226068608,0.0067365575463345095,0.00561688272603289,119,0.07176769357733004,0.023602267964757617,0.003995519106437848,91,0.35415804521372163,True
P10_06,0.775,0.2,0.45,313,0.014365944083057025,0.0021427727355667336,0.006561393584205377,119,0.07253498489635624,0.022444742215977254,0.003845760656281366,91,0.21427727355667336,True
P10_25,0.825,0.25,0.25,224,0.0029710029924168158,0.00412822217758313,0.006064817586867735,81,0.051672339361720554,0.014116152991698439,0.015470822388717748,67,0.059420059848336315,True
P10_26,0.825,0.25,0.35,224,-0.0016209365730872616,0.00028669290908189815,0.006116487613695848,81,0.05201348415261153,0.012940086881675139,0.01539847278761676,67,-0.03241873146174523,False
P10_27,0.825,0.25,0.45,224,-0.006956648134948784,-0.0035822503376774506,0.00616695028957534,81,0.05197859616116751,0.011737250040598779,0.015325775260872726,67,-0.35822503376774506,False
P10_22,0.825,0.2,0.25,189,-0.017133222760516986,-0.004412628017882891,0.0038009472087082163,62,0.058374838426738074,0.017935380619668262,0.01627411754454884,59,-0.44126280178828914,False
P10_01,0.775,0.15,0.25,253,-0.028568180226743456,-0.003921283645775597,0.0028465522199410953,92,0.028732657419887953,0.012441792520911044,0.000685741734403944,70,-0.5713636045348691,False
P10_23,0.825,0.2,0.35,189,-0.019456970290145037,-0.006780603869696256,0.0038540338147972225,62,0.05623433715700299,0.01648769082456525,0.016071258997526927,59,-0.6780603869696256,False
P10_02,0.775,0.15,0.35,253,-0.02990453146009653,-0.00683446818837008,0.0035774728101885533,92,0.02758158732606042,0.010999353387609379,0.0005684785621074689,70,-0.683446818837008,False
P10_24,0.825,0.2,0.45,189,-0.022261542915513077,-0.009169854714639492,0.003906300007628094,62,0.053823732277431646,0.015023048755922197,0.015868816669535102,59,-0.9169854714639492,False
P10_03,0.775,0.15,0.45,253,-0.03182958966818328,-0.009775341778993196,0.004307924181060227,92,0.026039986085083622,0.009529838158546688,0.0004516706863005454,70,-0.9775341778993196,False
P10_12,0.8,0.15,0.45,205,-0.03367490776250426,-0.014568578647082386,0.004711733745133798,70,0.09529763980034012,0.026091265228268545,0.008296857617706946,56,-1.4568578647082386,False
P10_11,0.8,0.15,0.35,205,-0.03994403504461097,-0.014977315889295628,0.004341676308801168,70,0.09616797230245477,0.027375328763638684,0.008451080995326224,56,-1.4977315889295628,False
P10_10,0.8,0.15,0.25,205,-0.04652470874710968,-0.015407349100759804,0.003971083788976648,70,0.09662128762859179,0.02863226184672585,0.00860576226267433,56,-1.5407349100759804,False
P10_07,0.775,0.25,0.25,358,-0.08424178232959645,-0.013776244791606551,-0.0009242817786254964,145,0.06669174803848377,0.02131796068103342,0.0037651031105195576,101,-1.684835646591929,False
P10_08,0.775,0.25,0.35,358,-0.08942639959659737,-0.019297047560186353,0.00026952673277429173,145,0.07148358266143984,0.020632691553993165,0.003911635218707674,101,-1.9297047560186353,False
P10_19,0.825,0.15,0.25,144,-0.06207888001710016,-0.019426698597789116,0.004123203188591093,42,0.09919699009910354,0.030408172390967048,0.00916658311818859,43,-1.9426698597789116,False
P10_20,0.825,0.15,0.35,144,-0.058502121394630624,-0.019569337838531542,0.004401969193506494,42,0.10011362485580155,0.029882748533210712,0.009235334565650635,43,-1.9569337838531542,False
P10_21,0.825,0.15,0.45,144,-0.055271348814607046,-0.019733289641816087,0.004454161146263999,42,0.10081613376428467,0.029342185068919058,0.009304031956308037,43,-1.9733289641816087,False
P10_09,0.775,0.25,0.45,358,-0.09566052527357738,-0.024857303868861313,0.0012730623407760655,145,0.07565045103290469,0.019895305545592823,0.00405756264014856,101,-2.4857303868861313,False
