candidate,D_sharpe_delta_x,D_annual_delta_x,D_top10_delta_x,V_sharpe_delta_x,V_annual_delta_x,V_top10_delta_x,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta,threshold,momentum_cap,maximum_budget,trigger_days,D_sharpe_delta_y,D_annual_delta_y,D_top10_delta_y,D_trigger_days,V_sharpe_delta_y,V_annual_delta_y,V_top10_delta_y,V_trigger_days,robust_score,eligible_DV_triple
P10_25,0.0029710029924168158,0.00412822217758313,0.006064817586867735,0.051672339361720554,0.014116152991698439,0.015470822388717748,0.1073840160593269,0.046830793426933415,0.005835754849828928,0.05360140986222883,0.01900481298188117,0.01130840056982546,True,0.056347333092946705,0.019593923764546606,0.825,0.25,0.25,224,0.0029710029924168158,0.00412822217758313,0.006064817586867735,81,0.051672339361720554,0.014116152991698439,0.015470822388717748,67,0.059420059848336315,True
P10_13,0.1107935851491415,0.04043508818536945,0.006944527879746476,0.06897323402240663,0.019331528707062784,0.015773730686781312,-0.07323825386238192,-0.0353341197738708,-0.0007772055263219196,0.038361692360400435,0.012427234700930212,0.004992753194686533,False,0.041245781157805306,0.013318862769818196,0.8,0.2,0.25,260,0.1107935851491415,0.04043508818536945,0.006944527879746476,93,0.06897323402240663,0.019331528707062784,0.015773730686781312,76,1.3794646804481325,True
P10_14,0.11728803652045139,0.03948385306547686,0.007696730623212092,0.06582046571856692,0.017231871340777305,0.015372397405075205,-0.06454508507504886,-0.03321451624245464,0.000382904800569267,0.04230519957743195,0.011943490570489601,0.00601525787541296,False,0.04463104145670127,0.012777199959773888,0.8,0.2,0.35,260,0.11728803652045139,0.03948385306547686,0.007696730623212092,93,0.06582046571856692,0.017231871340777305,0.015372397405075205,76,1.3164093143713385,True
P10_15,0.12320237864027184,0.038495615353223656,0.008319889800005795,0.062169276182933,0.015102961772788248,0.014972437730573412,-0.05607555655822338,-0.031123573287968442,0.0013222435341176675,0.0458241866870337,0.011425483609636133,0.006911836236237173,False,0.04761201885830335,0.012201971820599011,0.8,0.2,0.45,260,0.12320237864027184,0.038495615353223656,0.008319889800005795,93,0.062169276182933,0.015102961772788248,0.014972437730573412,76,1.24338552365866,True
P10_16,0.05794707960304968,0.02346712480221158,0.008197665821890007,0.0638318879829528,0.015914428347820975,0.015004580796934855,-0.06714466686330711,-0.03425346180962974,0.00018774487284153873,0.020380108822656284,0.005081579518123602,0.007498733994367124,False,0.022828442984478725,0.006019966261530563,0.8,0.25,0.25,300,0.05794707960304968,0.02346712480221158,0.008197665821890007,115,0.0638318879829528,0.015914428347820975,0.015004580796934855,85,1.1589415920609936,True
P10_17,0.06306412892778224,0.021618075443541773,0.008925734355507295,0.06379755014309907,0.014248941908118873,0.014746479686662942,-0.05616093952608492,-0.03172692955101808,0.0015560374053283227,0.02557966191911354,0.004509500313220061,0.008725181911673319,False,0.027254078899617173,0.005358503587941987,0.8,0.25,0.35,300,0.06306412892778224,0.021618075443541773,0.008925734355507295,115,0.06379755014309907,0.014248941908118873,0.014746479686662942,85,1.2612825785556447,True
P10_18,0.06735754894855628,0.01972034981182258,0.010504847157821934,0.06315329763481137,0.012542890935864026,0.014488462886688994,-0.045502115960087686,-0.02924370752888361,0.0027383266283088903,0.030210208637989622,0.0038901894682252802,0.009797684717245014,False,0.031136410888275234,0.004650778396650734,0.8,0.25,0.45,300,0.06735754894855628,0.01972034981182258,0.010504847157821934,115,0.06315329763481137,0.012542890935864026,0.014488462886688994,85,1.2542890935864026,True
P10_04,0.020115737719532012,0.011292561156365455,0.004543024469310292,0.07050907040368848,0.02472323962126155,0.004146468466972614,-0.07323825386238192,-0.0353341197738708,-0.0007772055263219196,0.005408543488340856,0.003068160478242765,-0.0026554772789395553,False,0.00993894295428066,0.004576670616891043,0.775,0.2,0.25,313,0.020115737719532012,0.011292561156365455,0.004543024469310292,119,0.07050907040368848,0.02472323962126155,0.004146468466972614,91,0.40231475439064024,True
P10_05,0.01770790226068608,0.0067365575463345095,0.00561688272603289,0.07176769357733004,0.023602267964757617,0.003995519106437848,-0.06454508507504886,-0.03321451624245464,0.000382904800569267,0.00723020741855418,0.0015178007446388087,-0.001475409764560287,False,0.010964021685633263,0.002930615714021867,0.775,0.2,0.35,313,0.01770790226068608,0.0067365575463345095,0.00561688272603289,119,0.07176769357733004,0.023602267964757617,0.003995519106437848,91,0.35415804521372163,True
P10_06,0.014365944083057025,0.0021427727355667336,0.006561393584205377,0.07253498489635624,0.022444742215977254,0.003845760656281366,-0.05607555655822338,-0.031123573287968442,0.0013222435341176675,0.00853272526771498,-7.273088582859799e-05,-0.0004226203290672026,False,0.011490042639328735,0.0012454001310304719,0.775,0.2,0.45,313,0.014365944083057025,0.0021427727355667336,0.006561393584205377,119,0.07253498489635624,0.022444742215977254,0.003845760656281366,91,0.21427727355667336,True
