candidate,threshold,delay_days,incumbent_momentum_floor,confidence_cap,minimum_risk_spread,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_event_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_event_days,robust_score,eligible_DV_triple
P12_15,0.75,3,0.05,1.5,0.0,30,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.12218670035512547,0.03870952913949943,0.005603724438836832,9,0.7351417168455221,True
P12_16,0.75,3,0.05,1.5,0.1,30,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.12218670035512547,0.03870952913949943,0.005603724438836832,9,0.7351417168455221,True
P12_23,0.75,5,0.05,1.5,0.0,34,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.11379415653269731,0.03506109597776641,0.004955870343766003,11,0.7351417168455221,True
P12_24,0.75,5,0.05,1.5,0.1,34,0.04091425815850691,0.007351417168455221,0.01862553434555425,8,0.11379415653269731,0.03506109597776641,0.004955870343766003,11,0.7351417168455221,True
P12_13,0.75,3,0.05,1.0,0.0,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_14,0.75,3,0.05,1.0,0.1,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_21,0.75,5,0.05,1.0,0.0,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_22,0.75,5,0.05,1.0,0.1,19,0.03795632716330566,0.007198527500061669,0.018900204868058823,6,0.10746005404274761,0.03413182074566623,0.004481404355663313,8,0.7198527500061669,True
P12_49,0.825,1,0.0,1.0,0.0,10,0.0253955658437528,0.008383799475482512,-0.0009960561077557162,2,0.07955159232424058,0.02426742112083513,0.0019314022775277634,6,-0.19921122155114324,False
P12_50,0.825,1,0.0,1.0,0.1,10,0.0253955658437528,0.008383799475482512,-0.0009960561077557162,2,0.07955159232424058,0.02426742112083513,0.0019314022775277634,6,-0.19921122155114324,False
P12_53,0.825,1,0.05,1.0,0.0,7,0.012685764620464557,0.004455937839996871,-0.00099605610775573,1,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.199211221551146,False
P12_54,0.825,1,0.05,1.0,0.1,7,0.012685764620464557,0.004455937839996871,-0.00099605610775573,1,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.199211221551146,False
P12_55,0.825,1,0.05,1.5,0.0,10,0.015516367677124832,0.004608521967186974,-0.0012707266302602466,3,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.2541453260520493,False
P12_56,0.825,1,0.05,1.5,0.1,10,0.015516367677124832,0.004608521967186974,-0.0012707266302602466,3,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.2541453260520493,False
P12_51,0.825,1,0.0,1.5,0.0,17,0.033068225858894795,0.010191793606671329,-0.0012707266302602743,7,0.07955159232424058,0.02426742112083513,0.0019314022775277634,6,-0.25414532605205487,False
P12_52,0.825,1,0.0,1.5,0.1,17,0.033068225858894795,0.010191793606671329,-0.0012707266302602743,7,0.07955159232424058,0.02426742112083513,0.0019314022775277634,6,-0.25414532605205487,False
P12_29,0.8,1,0.05,1.0,0.0,9,-0.01184644178971439,-0.0038613445252333456,-0.0031915753153642923,2,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.6383150630728585,False
P12_30,0.8,1,0.05,1.0,0.1,9,-0.01184644178971439,-0.0038613445252333456,-0.0031915753153642923,2,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.6383150630728585,False
P12_25,0.8,1,0.0,1.0,0.0,16,-0.010773611981383047,-0.0037779661026162703,-0.0031915753153642923,4,-0.0024174642761667364,-0.0021771370133010226,0.004478682426510394,9,-0.6383150630728585,False
