date,current,proposal,veto_day
2013-09-17,510300.SH,159915.SZ,1
2013-09-18,510300.SH,159915.SZ,2
2015-04-07,510300.SH,159915.SZ,1
2015-08-04,513100.SH,159915.SZ,1
2015-08-05,513100.SH,159915.SZ,2
2015-11-10,513100.SH,159915.SZ,1
2015-11-11,513100.SH,159915.SZ,2
2015-11-12,513100.SH,159915.SZ,3
2019-02-18,510300.SH,159915.SZ,1
2019-02-21,510300.SH,159915.SZ,1
2019-02-22,510300.SH,159915.SZ,2
2019-02-25,510300.SH,159915.SZ,3
2019-11-05,513100.SH,159915.SZ,1
2020-07-06,159915.SZ,510300.SH,1
2021-01-20,510300.SH,159915.SZ,1
2021-01-21,510300.SH,159915.SZ,2
2023-11-20,513100.SH,159915.SZ,1
2024-03-04,510300.SH,159915.SZ,1
2025-07-11,513100.SH,159915.SZ,1
