peak_date,trough_date,recovery_date,depth,recovery_days,candidate_same_window_return,same_window_improvement,candidate_improves
2015-06-03,2015-07-08,2015-10-23,-0.2579467007454501,70.0,-0.241795539748625,0.01615116099682512,True
2025-10-17,2026-04-03,2026-06-01,-0.2550525083613103,37.0,-0.2446829814541729,0.010369526907137439,True
2024-10-08,2024-10-17,2025-07-22,-0.25504107542942467,186.0,-0.23497273878530955,0.020068336644115115,True
2015-10-27,2016-01-05,2017-03-06,-0.2444509762898026,282.0,-0.19732452439740067,0.047126451892401944,True
2020-02-13,2020-03-17,2020-07-09,-0.21739980673590276,76.0,-0.2198680121138219,-0.0024682053779191415,False
2020-09-03,2021-03-08,2021-07-07,-0.17333360905179496,82.0,-0.19369888066244045,-0.020365271610645497,False
2019-03-12,2019-05-14,2019-08-26,-0.150458054555758,73.0,-0.1427086502989916,0.007749404256766401,True
2022-03-09,2022-05-24,2022-06-24,-0.13769507655339053,22.0,-0.1376950765533902,3.3306690738754696e-16,False
2023-07-19,2023-12-05,2024-03-18,-0.1370867766835273,67.0,-0.11813064695670827,0.018956129726819038,True
2020-07-13,2020-08-12,2020-08-27,-0.1309739708311879,11.0,-0.12526337786298958,0.005710592968198314,True
