configuration,full_sharpe,full_sharpe_delta,full_5bp_sharpe_delta,top10_mean_depth,top10_mean_improvement,worst_drawdown_improvement,same_window_wins,rolling36_lead,annual_turnover,sharpe_delta_D,sharpe_delta_V,sharpe_delta_T
ABLATION_FLOW_PREMIUM_ONLY_T0.75_W0.50,1.252734771482624,0.014410486062558459,-0.013897601717845598,-0.16215465837743012,0.033789197146324806,-0.0019113053719064244,10,0.4954954954954955,53.71838331160365,-0.1721844489046751,0.16724700514843815,0.07340861628552653
THRESHOLD_0.70_BUDGET_0.50,1.2920404462745039,0.05371616085443831,0.036306797609476194,-0.16218669999294186,0.03375715553081307,0.03222902186893051,8,0.5045045045045045,46.73663624511082,0.12947126035160128,-0.025108987701943364,0.046282968346486486
THRESHOLD_0.75_BUDGET_0.60,1.287763323990376,0.04943903857031051,0.03784287896278915,-0.17440753397065203,0.021536321553102894,0.027622452389523766,8,0.7297297297297297,47.87014341590613,-0.024088387391638433,0.15725248990421037,0.05172258027878529
THRESHOLD_0.75_BUDGET_0.50,1.290403534110589,0.052079248690523494,0.042914035310043896,-0.17693713581996104,0.01900671970379389,0.021544648023361868,8,0.7837837837837838,47.14732724902217,0.0029829202249045395,0.15662822711259017,0.029731511074352568
ABLATION_FULL_T0.75_W0.50,1.290403534110589,0.052079248690523494,0.042914035310043896,-0.17693713581996104,0.01900671970379389,0.021544648023361868,8,0.7837837837837838,47.14732724902217,0.0029829202249045395,0.15662822711259017,0.029731511074352568
THRESHOLD_0.85_BUDGET_0.50,1.3306407023514302,0.09231641693136461,0.08847024488816135,-0.17788972275472256,0.018054132769032366,-0.003259899227512242,3,0.7837837837837838,47.22946544980444,-0.045517359780415045,0.09838396905435187,0.2387341445788198
ABLATION_PRICE_ONLY_T0.75_W0.50,1.164776100985549,-0.0735481844345165,-0.0818690804437956,-0.17948704664254841,0.016456808881206514,-0.003622772011738551,6,0.36036036036036034,45.997392438070406,-0.277344889990506,0.04707181217692058,0.05358702108510571
THRESHOLD_0.75_BUDGET_0.40,1.2880399915045524,0.04971570608448683,0.04321031430450284,-0.18020463518718724,0.01573922033656769,0.011776870112438664,8,0.8108108108108109,46.42451108213821,0.02098264603660649,0.15224963689857274,0.004529639843305455
THRESHOLD_0.80_BUDGET_0.50,1.3456514901146603,0.10732720469459478,0.1004591582086547,-0.1803378449497886,0.015606010573966322,0.003960533373282726,6,0.963963963963964,47.80443285528032,0.08734221543471499,0.09067111253966564,0.15663574726376361
ABLATION_LIQUIDITY_ONLY_T0.75_W0.50,1.175687859582461,-0.06263642583760465,-0.07641436925823153,-0.1820665877397875,0.013877267783967417,-0.023289737204684302,7,0.42342342342342343,47.72229465449805,-0.24258151087331337,0.06852400565017425,0.004410764417204671
ABLATION_TUSHARE_ONLY_T0.75_W0.50,1.2081209996820303,-0.030203285738035213,-0.05274530817566858,-0.18436986825862628,0.011573987265128649,-0.049341873659909385,8,0.6216216216216216,53.14341590612777,-0.20011120036925423,0.2560017649730427,-0.14196305019982214
