configuration,asset_columns,columns_exactly_fixed_core,weights_nonnegative,fully_invested_when_active
THRESHOLD_0.70_BUDGET_0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
THRESHOLD_0.75_BUDGET_0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
THRESHOLD_0.80_BUDGET_0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
THRESHOLD_0.85_BUDGET_0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
THRESHOLD_0.75_BUDGET_0.40,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
THRESHOLD_0.75_BUDGET_0.60,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
ABLATION_FULL_T0.75_W0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
ABLATION_PRICE_ONLY_T0.75_W0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
ABLATION_TUSHARE_ONLY_T0.75_W0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
ABLATION_LIQUIDITY_ONLY_T0.75_W0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
ABLATION_FLOW_PREMIUM_ONLY_T0.75_W0.50,510300.SH|159915.SZ|513100.SH|518880.SH,True,True,True
