year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7005014096063871,-0.06725385705171605
2015,0.39635776312980187,0.39260903920925383,-0.003748723920548036
2016,0.14299272484202374,0.038396332418682455,-0.10459639242334129
2017,0.24303199599157344,0.2870675143131227,0.04403551832154928
2018,0.286836138780572,0.1933342835055054,-0.0935018552750666
2019,0.42816920631941713,0.3915101573657236,-0.03665904895369354
2020,0.21398539300393304,0.36048211840946576,0.1464967254055327
2021,0.06184614235334007,0.041142908773512676,-0.020703233579827396
2022,0.2282291014130471,0.2320243495035179,0.0037952480904708263
2023,0.09325641293319364,0.12425109226839814,0.0309946793352045
2024,0.6931222879592331,0.718948879069252,0.025826591110018837
2025,0.5095569756768099,0.40270014976597146,-0.10685682591083845
2026,0.176127385233807,0.14524750837840816,-0.030879876855398836
