strategy,selected,fee_bps_one_side,period,annual_return,sharpe,max_drawdown,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
BASE_QM20,False,1.0,D,0.36516506440066787,1.4371250843413144,-0.2579467007454501,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
BASE_QM20,False,1.0,V,0.23556158469711397,0.9940115665526154,-0.21739980673590265,10,-0.1248757454980252,-0.21739980673590265,49.0
BASE_QM20,False,1.0,T_pseudo_oos,0.4081334660239546,1.2648281117085953,-0.25505250836130944,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
BASE_QM20,False,1.0,FULL,0.3344526118113791,1.2383242854200656,-0.2579467007454501,10,-0.19594385552375493,-0.2579467007454501,90.6
BASE_QM20,False,5.0,D,0.3412409244802621,1.361761717784497,-0.25973317508884664,10,-0.1209708485270549,-0.25973317508884664,57.22222222222222
BASE_QM20,False,5.0,V,0.21226673941003504,0.9158685292182417,-0.21988831808861686,10,-0.1206393138640304,-0.21988831808861686,58.22222222222222
BASE_QM20,False,5.0,T_pseudo_oos,0.3811927058172533,1.2017947816137189,-0.26221932659438874,10,-0.10784592471780849,-0.26221932659438874,42.0
BASE_QM20,False,5.0,FULL,0.3098919953565198,1.1668761696561993,-0.2622193265943882,10,-0.1999261883370555,-0.2622193265943882,122.0
EQUAL_T75_W50,False,1.0,D,0.31586409553892514,1.440108004566219,-0.21345189661862907,10,-0.10252365220203456,-0.21345189661862907,66.0
EQUAL_T75_W50,False,1.0,V,0.25862075315168687,1.1506397936652055,-0.21552406980794092,10,-0.11058215151757718,-0.21552406980794092,51.4
EQUAL_T75_W50,False,1.0,T_pseudo_oos,0.38526068094937016,1.294559622782948,-0.2364020527220878,10,-0.09513939720538007,-0.2364020527220878,36.44444444444444
EQUAL_T75_W50,False,1.0,FULL,0.31663209794513403,1.290403534110589,-0.23640205272208825,10,-0.17693713581996104,-0.23640205272208825,119.66666666666667
EQUAL_T75_W50,False,5.0,D,0.291957541862782,1.3504560910166947,-0.21783561988659894,10,-0.10404263363590123,-0.21783561988659894,69.77777777777777
EQUAL_T75_W50,False,5.0,V,0.23575955071489796,1.0679313594614959,-0.2236653547839541,10,-0.11258083139956895,-0.2236653547839541,51.6
EQUAL_T75_W50,False,5.0,T_pseudo_oos,0.35764276813301676,1.2227689769123866,-0.24345259100387362,10,-0.094453055224822,-0.24345259100387362,39.55555555555556
EQUAL_T75_W50,False,5.0,FULL,0.2920478969313345,1.2097902049662432,-0.24345259100387417,10,-0.18079101518672286,-0.24345259100387417,125.11111111111111
EQUAL_SAME_PARAMETERS,False,1.0,D,0.31257492271030607,1.5262261537833337,-0.22007518261078707,10,-0.09160544759871672,-0.22007518261078707,71.44444444444444
EQUAL_SAME_PARAMETERS,False,1.0,V,0.20026246470120634,0.9604201562476639,-0.1927829933252343,10,-0.09884427973342633,-0.1927829933252343,64.55555555555556
EQUAL_SAME_PARAMETERS,False,1.0,T_pseudo_oos,0.28879902954181547,1.3102100426005023,-0.2164326312105559,10,-0.09847981511175573,-0.2164326312105559,31.11111111111111
EQUAL_SAME_PARAMETERS,False,1.0,FULL,0.26925705618337736,1.2724585081361104,-0.22007518261078707,10,-0.15865760029434783,-0.22007518261078707,126.22222222222223
EQUAL_SAME_PARAMETERS,False,5.0,D,0.28888518533873375,1.4307876288492167,-0.22194701263080274,10,-0.09296009004370417,-0.22194701263080274,76.77777777777777
EQUAL_SAME_PARAMETERS,False,5.0,V,0.17710588152451234,0.8693924700506588,-0.19475576662416882,10,-0.10103532404427247,-0.19475576662416882,63.44444444444444
EQUAL_SAME_PARAMETERS,False,5.0,T_pseudo_oos,0.26318956500997825,1.214449565923608,-0.21836710332870946,10,-0.09819481962929995,-0.21836710332870946,32.0
EQUAL_SAME_PARAMETERS,False,5.0,FULL,0.24518775178417784,1.1784708208371106,-0.22194701263080274,10,-0.16171675340212083,-0.22194701263080274,134.55555555555554
FIT_T70_W60,True,1.0,D,0.29660259644546194,1.4558483518123024,-0.20996831863891818,10,-0.0933716797784028,-0.20996831863891818,56.888888888888886
FIT_T70_W60,True,1.0,V,0.31865740263733144,1.396883686391794,-0.19278299332523452,10,-0.10191340310497177,-0.19278299332523452,62.333333333333336
FIT_T70_W60,True,1.0,T_pseudo_oos,0.3190249557100382,1.3626847207986095,-0.2562879279035014,10,-0.0907371119012873,-0.2562879279035014,27.444444444444443
FIT_T70_W60,True,1.0,FULL,0.30994689737796444,1.4056402444630993,-0.2562879279035021,10,-0.15345643522159957,-0.2562879279035021,107.22222222222223
FIT_T70_W60,True,5.0,D,0.2746337042332778,1.3657534689431752,-0.21973838479451147,10,-0.09561614066234524,-0.21973838479451147,58.44444444444444
FIT_T70_W60,True,5.0,V,0.29415359338932023,1.3087931035322902,-0.1947557666241686,10,-0.10345232521831112,-0.1947557666241686,62.333333333333336
FIT_T70_W60,True,5.0,T_pseudo_oos,0.2938861229193963,1.2752440181723448,-0.26370467897094707,10,-0.09371222508470675,-0.26370467897094707,27.444444444444443
FIT_T70_W60,True,5.0,FULL,0.28627998384460085,1.3171703985385153,-0.26370467897094785,10,-0.15732150637500694,-0.26370467897094785,110.77777777777777
