peak_date,trough_date,recovery_date,depth,recovery_days,strategy
2015-06-03,2015-07-08,2015-10-23,-0.2579467007454501,70.0,BASE_QM20
2025-10-17,2026-04-03,2026-06-01,-0.2550525083613103,37.0,BASE_QM20
2024-10-08,2024-10-17,2025-07-22,-0.25504107542942467,186.0,BASE_QM20
2015-10-27,2016-01-05,2017-03-06,-0.2444509762898026,282.0,BASE_QM20
2020-02-13,2020-03-17,2020-07-09,-0.21739980673590276,76.0,BASE_QM20
2020-09-03,2021-03-08,2021-07-07,-0.17333360905179496,82.0,BASE_QM20
2019-03-12,2019-05-14,2019-08-26,-0.150458054555758,73.0,BASE_QM20
2022-03-09,2022-05-24,2022-06-24,-0.13769507655339053,22.0,BASE_QM20
2023-07-19,2023-12-05,2024-03-18,-0.1370867766835273,67.0,BASE_QM20
2020-07-13,2020-08-12,2020-08-27,-0.1309739708311879,11.0,BASE_QM20
2025-10-17,2026-04-03,,-0.2562879279035021,,FIT_T70_W60
2015-06-02,2016-01-05,2017-05-25,-0.20996831863891818,337.0,FIT_T70_W60
2020-02-25,2020-03-17,2020-07-08,-0.19278299332523463,75.0,FIT_T70_W60
2020-09-03,2020-10-26,2022-02-22,-0.16348067893282248,322.0,FIT_T70_W60
2022-03-09,2022-05-18,2022-06-20,-0.13766785912067414,22.0,FIT_T70_W60
2018-01-24,2018-02-06,2018-06-05,-0.12053258050349125,76.0,FIT_T70_W60
2020-01-17,2020-02-03,2020-02-10,-0.11583572659435304,5.0,FIT_T70_W60
2024-07-09,2024-09-09,2024-09-30,-0.11386417444123342,13.0,FIT_T70_W60
2023-07-19,2023-12-05,2024-03-11,-0.11211317430876844,62.0,FIT_T70_W60
2024-10-08,2024-11-18,2025-02-10,-0.11203091844699808,53.0,FIT_T70_W60
