fee_bps_one_side,period,strategy,annual_return,sharpe,max_drawdown,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
1.0,D,BASE_QM20,0.36516506440066787,1.4371250843413144,-0.2579467007454501,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
1.0,D,RA_CENTER,0.3686711691504241,1.4502534391235384,-0.25794670074544956,10,-0.11425999266221251,-0.25794670074544956,48.111111111111114
1.0,V,BASE_QM20,0.23556158469711397,0.9940115665526154,-0.21739980673590265,10,-0.1248757454980252,-0.21739980673590265,49.0
1.0,V,RA_CENTER,0.2358223613137007,1.0079774895903597,-0.21739980673590276,10,-0.11923327256402219,-0.21739980673590276,57.44444444444444
1.0,T,BASE_QM20,0.4081334660239546,1.2648281117085953,-0.25505250836130944,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
1.0,T,RA_CENTER,0.49045498181068004,1.445578029704114,-0.2397463154479289,10,-0.11872208478640336,-0.2397463154479289,37.333333333333336
1.0,FULL,BASE_QM20,0.3344526118113791,1.2383242854200656,-0.2579467007454501,10,-0.19594385552375493,-0.2579467007454501,90.6
1.0,FULL,RA_CENTER,0.3577523920488246,1.308728234675494,-0.25794670074544956,10,-0.190559484839242,-0.25794670074544956,103.0
5.0,D,BASE_QM20,0.3412409244802621,1.361761717784497,-0.25973317508884664,10,-0.1209708485270549,-0.25973317508884664,57.22222222222222
5.0,D,RA_CENTER,0.3455246272263355,1.3773160969296165,-0.2597331750888463,10,-0.11602921390081658,-0.2597331750888463,52.0
5.0,V,BASE_QM20,0.21226673941003504,0.9158685292182417,-0.21988831808861686,10,-0.1206393138640304,-0.21988831808861686,58.22222222222222
5.0,V,RA_CENTER,0.21314886692549062,0.9303792849398509,-0.21988831808861642,10,-0.12180932118805457,-0.21988831808861642,58.333333333333336
5.0,T,BASE_QM20,0.3811927058172533,1.2017947816137189,-0.26221932659438874,10,-0.10784592471780849,-0.26221932659438874,42.0
5.0,T,RA_CENTER,0.4636121601059975,1.3863669007394013,-0.24600337284325524,10,-0.12119430088207475,-0.24600337284325524,38.666666666666664
5.0,FULL,BASE_QM20,0.3098919953565198,1.1668761696561993,-0.2622193265943882,10,-0.1999261883370555,-0.2622193265943882,122.0
5.0,FULL,RA_CENTER,0.3337471389276083,1.239698348082486,-0.2597331750888463,10,-0.19483450988649467,-0.2597331750888463,106.66666666666667
