candidate,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,robust_score,eligible_DV_triple,minimum_drawdown
P7_092,DRAWDOWN,0.8,RA,0.15,,175,0.06712695692648807,0.023989439176127947,0.010129187191388556,0.11684521963226346,0.03230712662554702,0.008897367004996257,1.3425391385297614,True,0.02
P7_099,DRAWDOWN,0.8,RA,0.25,,175,0.0662912864294043,0.01677606274592125,0.011571695043942551,0.1420827641894199,0.03718900836478389,0.010839842281763046,1.325825728588086,True,0.02
P7_106,DRAWDOWN,0.8,RA,0.35,,175,0.06177682991546307,0.009407288516031675,0.013014892863484201,0.1665296252442775,0.04200027295413955,0.012547284458115482,0.9407288516031675,True,0.02
P7_069,MOMCAP,0.8,SAFE,0.25,0.2,260,0.10446760464460403,0.02224135752814438,0.00408022929343177,0.07979608164397323,0.01926465226512475,0.006984568320498846,0.8160458586863539,True,
P7_076,MOMCAP,0.8,SAFE,0.35,0.2,260,0.08308156066309991,0.009355587085760453,0.0030997625913471993,0.07119587219248735,0.014552464607705318,0.012901491809357887,0.6199525182694399,True,
P7_062,MOMCAP,0.8,SAFE,0.15,0.2,260,0.12128853441430199,0.0350462813231982,0.003020445599243679,0.08643662752944625,0.02386831393615907,0.007185011093062757,0.6040891198487358,True,
P7_011,MOMCAP,0.7,SAFE,0.25,0.2,434,0.1081504257635244,0.01991901471310209,0.0028393816439882397,0.07084136575085231,0.017335991580390564,0.011908731383379348,0.5678763287976479,True,
P7_081,BOTH,0.8,SAFE,0.2,0.1,31,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.4570108555343122,True,0.05
P7_110,BOTH,0.8,RA,0.2,0.1,31,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.4570108555343122,True,0.05
P7_004,MOMCAP,0.7,SAFE,0.15,0.2,434,0.141040314489709,0.04037278082669382,0.0018416704804545964,0.07281071635366299,0.022025316146458085,0.0020339609659116575,0.36833409609091927,True,
