candidate,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta_screen,D_annual_delta_screen,D_top10_delta_screen,V_sharpe_delta_screen,V_annual_delta_screen,V_top10_delta_screen,robust_score,eligible_DV_triple,minimum_drawdown
P7_069,0.10446760464460403,0.02224135752814438,0.00408022929343177,0.07979608164397323,0.01926465226512475,0.006984568320498846,0.06877977443103278,0.020298693916329436,0.00784464942938952,0.08356065566332527,0.02072946860595848,0.0019954199315162513,True,0.08361692404838283,0.021006782705067728,MOMCAP,0.8,SAFE,0.25,0.2,260,0.10446760464460403,0.02224135752814438,0.00408022929343177,0.07979608164397323,0.01926465226512475,0.006984568320498846,0.8160458586863539,True,
P7_093,0.07698398262874417,0.02370754999226521,0.0009026707078710339,0.10662224814001198,0.030153776269455257,0.007774155958923903,0.009886696736449707,0.0003172553481929352,0.007254284596385482,0.06333108088356987,0.019557973143707885,0.0008185231213703459,True,0.063371055368862,0.019466331535962,DRAWDOWN,0.8,RA,0.15,,100,0.07698398262874417,0.02370754999226521,0.0009026707078710339,0.10662224814001198,0.030153776269455257,0.007774155958923903,0.18053414157420677,True,0.05
P7_064,0.06464967928690735,0.01813462744239125,0.0008599418887921678,0.09823517005031002,0.02734735369089969,0.0077026499763103995,0.03514198903826915,0.009613947657776567,0.005070803088594977,0.0647720365527511,0.018984555247957502,0.0034201674965154694,True,0.0644998203570939,0.018844486486216505,DRAWDOWN,0.8,SAFE,0.15,,100,0.06464967928690735,0.01813462744239125,0.0008599418887921678,0.09823517005031002,0.02734735369089969,0.0077026499763103995,0.17198837775843356,True,0.05
P7_100,0.06393564194753165,0.015123861081360657,0.0009433541808289286,0.12874467009666557,0.034744244723451834,0.009197723862592433,0.02505776288944639,0.0031604225632313465,0.003605708026913762,0.0700068235570317,0.018552992434335724,0.003336191571292446,True,0.06894592711156444,0.018323884697996506,DRAWDOWN,0.8,RA,0.25,,100,0.06393564194753165,0.015123861081360657,0.0009433541808289286,0.12874467009666557,0.034744244723451834,0.009197723862592433,0.18867083616578573,True,0.05
P7_107,0.04832396191859645,0.006474462744568088,0.0009763416366966315,0.15014555904483917,0.03927771987631368,0.01062037202150802,0.03913937214717622,0.005870609156885198,0.0047758666430938596,0.07525725898419444,0.0174396027524506,0.0051894074201941365,True,0.07316065831746799,0.017075140331924032,DRAWDOWN,0.8,RA,0.35,,100,0.04832396191859645,0.006474462744568088,0.0009763416366966315,0.15014555904483917,0.03927771987631368,0.01062037202150802,0.1952683273393263,True,0.05
P7_071,0.04251903362566889,0.005878477966230422,0.00087213948236399,0.11457451166194155,0.03004623355608471,0.009077864935909744,0.056167647116106334,0.014060438222045724,0.006694945831498322,0.06835913926874726,0.016322922939393525,0.006354214677411901,True,0.06673950376310445,0.016032453680624448,DRAWDOWN,0.8,SAFE,0.25,,100,0.04251903362566889,0.005878477966230422,0.00087213948236399,0.11457451166194155,0.03004623355608471,0.009077864935909744,0.174427896472798,True,0.05
P7_076,0.08308156066309991,0.009355587085760453,0.0030997625913471993,0.07119587219248735,0.014552464607705318,0.012901491809357887,0.08918014252958772,0.02552048822552755,0.010526214092213576,0.07940025240707271,0.01550770394440204,0.003714028101612671,True,0.07815931100393692,0.0156952588125443,MOMCAP,0.8,SAFE,0.35,0.2,260,0.08308156066309991,0.009355587085760453,0.0030997625913471993,0.07119587219248735,0.014552464607705318,0.012901491809357887,0.6199525182694399,True,
P7_081,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.02158064138390925,0.006628782732588379,0.008671061347573644,0.04770961050715439,0.015362804848786604,0.006287742965193743,True,0.04819674198159696,0.015368315814266786,BOTH,0.8,SAFE,0.2,0.1,31,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.4570108555343122,True,0.05
P7_110,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.015119863846346115,0.0045513018738927435,0.008372690299011692,0.04540796599306951,0.014796559489848482,0.0059893719166315695,True,0.04604567847623198,0.014847235318732555,BOTH,0.8,RA,0.2,0.1,31,0.02285054277671561,0.006733667472655025,0.002820954675206877,0.10763996942610932,0.032192957316048876,0.009214741866680448,0.4570108555343122,True,0.05
P7_085,0.013449192403159227,0.003055356280111665,0.0028275792914917303,0.10822346447132258,0.03143944851158409,0.009703949527137906,0.03174899371687134,0.009879544109494987,0.009394326202360664,0.04802788741891195,0.01455227224659783,0.007238592568625191,True,0.04812623316637121,0.014502711505008703,BOTH,0.8,SAFE,0.3,0.1,31,0.013449192403159227,0.003055356280111665,0.0028275792914917303,0.10822346447132258,0.03143944851158409,0.009703949527137906,0.26898384806318454,True,0.05
