fee_bps_one_side,period,strategy,annual_return,sharpe,max_drawdown,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
1.0,D,BASE_QM20,0.36516506440066787,1.4371250843413144,-0.2579467007454501,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
1.0,D,P7_092,0.3891545035767958,1.5042520412678024,-0.21238347733310814,10,-0.10936163129257834,-0.21238347733310814,39.888888888888886
1.0,V,BASE_QM20,0.23556158469711397,0.9940115665526154,-0.21739980673590265,10,-0.1248757454980252,-0.21739980673590265,49.0
1.0,V,P7_092,0.267868711322661,1.1108567861848788,-0.21739980673590242,10,-0.11597837849302894,-0.21739980673590242,49.6
1.0,T,BASE_QM20,0.4081334660239546,1.2648281117085953,-0.25505250836130944,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
1.0,T,P7_092,0.3919167848456324,1.2387186025564905,-0.2633641961278772,10,-0.11797642818132095,-0.2633641961278772,42.888888888888886
1.0,FULL,BASE_QM20,0.3344526118113791,1.2383242854200656,-0.2579467007454501,10,-0.19594385552375493,-0.2579467007454501,90.6
1.0,FULL,P7_092,0.35028889491443294,1.2903818965480605,-0.2633641961278772,10,-0.18916739466491417,-0.2633641961278772,95.66666666666667
5.0,D,BASE_QM20,0.3412409244802621,1.361761717784497,-0.25973317508884664,10,-0.1209708485270549,-0.25973317508884664,57.22222222222222
5.0,D,P7_092,0.36558968967043026,1.4315053671146045,-0.21429706749353217,10,-0.11116535408352501,-0.21429706749353217,47.77777777777778
5.0,V,BASE_QM20,0.21226673941003504,0.9158685292182417,-0.21988831808861686,10,-0.1206393138640304,-0.21988831808861686,58.22222222222222
5.0,V,P7_092,0.24490837254053544,1.0345734518503995,-0.21988831808861675,10,-0.11816533774358859,-0.21988831808861675,48.7
5.0,T,BASE_QM20,0.3811927058172533,1.2017947816137189,-0.26221932659438874,10,-0.10784592471780849,-0.26221932659438874,42.0
5.0,T,P7_092,0.36508726808532743,1.1741403515799813,-0.26475528938135107,10,-0.12060610571425942,-0.26475528938135107,43.77777777777778
5.0,FULL,BASE_QM20,0.3098919953565198,1.1668761696561993,-0.2622193265943882,10,-0.1999261883370555,-0.2622193265943882,122.0
5.0,FULL,P7_092,0.3260012072906229,1.2198068905744868,-0.26475528938135084,10,-0.1935303971996328,-0.26475528938135084,104.0
