candidate,mode,threshold,hurdle,budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_trigger_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_trigger_days,robust_score,eligible_DV_triple
P9_34,RA,0.8,0.002,0.15,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,False
P9_35,RA,0.8,0.002,0.25,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,False
P9_36,RA,0.8,0.002,0.35,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,False
P9_25,RA,0.7,0.002,0.15,9,0.0,0.0,0.0,0,0.01901487368615251,0.005745000961316471,5.38512007190739e-06,2,0.0,False
P9_26,RA,0.7,0.002,0.25,9,0.0,0.0,0.0,0,0.031515723990196975,0.009577511651100101,8.975200119748505e-06,2,0.0,False
P9_27,RA,0.7,0.002,0.35,9,0.0,0.0,0.0,0,0.043870353864868705,0.013412030584262657,1.2565280167589621e-05,2,0.0,False
P9_22,RA,0.7,0.001,0.15,13,0.0,0.0,0.0,0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,4,0.0,False
P9_23,RA,0.7,0.001,0.25,13,0.0,0.0,0.0,0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,4,0.0,False
P9_24,RA,0.7,0.001,0.35,13,0.0,0.0,0.0,0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,4,0.0,False
P9_19,RA,0.7,0.0,0.15,19,0.0,0.0,0.0,0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,7,0.0,False
P9_20,RA,0.7,0.0,0.25,19,0.0,0.0,0.0,0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,7,0.0,False
P9_21,RA,0.7,0.0,0.35,19,0.0,0.0,0.0,0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,7,0.0,False
P9_31,RA,0.8,0.001,0.15,6,0.0,0.0,0.0,0,-0.004739378448329723,-0.0015464686937867178,-2.7755575615628914e-17,1,-0.15464686937867178,False
P9_28,RA,0.8,0.0,0.15,12,0.0,0.0,0.0,0,-0.004739378448329723,-0.0015464686937867178,-2.7755575615628914e-17,4,-0.15464686937867178,False
P9_32,RA,0.8,0.001,0.25,6,0.0,0.0,0.0,0,-0.007956581814416608,-0.002580214866542141,0.0,1,-0.2580214866542141,False
P9_29,RA,0.8,0.0,0.25,12,0.0,0.0,0.0,0,-0.007956581814416608,-0.002580214866542141,0.0,4,-0.2580214866542141,False
P9_16,SAFE,0.8,0.002,0.15,16,0.0,0.0,0.0,0,-0.008986692951470032,-0.003431427458292502,-4.163336342344337e-17,11,-0.3431427458292502,False
P9_07,SAFE,0.7,0.002,0.15,36,0.0,0.0,0.0,0,-0.008986692951470032,-0.003431427458292502,-4.163336342344337e-17,16,-0.3431427458292502,False
P9_33,RA,0.8,0.001,0.35,6,0.0,0.0,0.0,0,-0.011219484622149611,-0.0036161804750725057,4.163336342344337e-17,1,-0.3616180475072506,False
P9_30,RA,0.8,0.0,0.35,12,0.0,0.0,0.0,0,-0.011219484622149611,-0.0036161804750725057,4.163336342344337e-17,4,-0.3616180475072506,False
P9_17,SAFE,0.8,0.002,0.25,16,0.0,0.0,0.0,0,-0.018613947288923294,-0.006862931104119063,6.938893903907228e-17,11,-0.6862931104119063,False
P9_08,SAFE,0.7,0.002,0.25,36,0.0,0.0,0.0,0,-0.018613947288923294,-0.006862931104119063,6.938893903907228e-17,16,-0.6862931104119063,False
P9_13,SAFE,0.8,0.001,0.15,18,0.0,0.0,0.0,0,-0.029555136043133312,-0.0102053732569507,0.005330914392621136,12,-1.02053732569507,False
P9_10,SAFE,0.8,0.0,0.15,23,0.0,0.0,0.0,0,-0.029555136043133312,-0.0102053732569507,0.005330914392621136,13,-1.02053732569507,False
P9_04,SAFE,0.7,0.001,0.15,38,0.0,0.0,0.0,0,-0.029555136043133312,-0.0102053732569507,0.005330914392621136,17,-1.02053732569507,False
P9_01,SAFE,0.7,0.0,0.15,44,0.0,0.0,0.0,0,-0.029555136043133312,-0.0102053732569507,0.005330914392621136,18,-1.02053732569507,False
P9_18,SAFE,0.8,0.002,0.35,16,0.0,0.0,0.0,0,-0.028687941016882657,-0.010312993374937962,8.326672684688674e-17,11,-1.0312993374937962,False
P9_09,SAFE,0.7,0.002,0.35,36,0.0,0.0,0.0,0,-0.028687941016882657,-0.010312993374937962,8.326672684688674e-17,16,-1.0312993374937962,False
P9_14,SAFE,0.8,0.001,0.25,18,0.0,0.0,0.0,0,-0.04031625890058388,-0.01398650818548064,0.005236532234530286,12,-1.398650818548064,False
P9_11,SAFE,0.8,0.0,0.25,23,0.0,0.0,0.0,0,-0.04031625890058388,-0.01398650818548064,0.005236532234530286,13,-1.398650818548064,False
P9_05,SAFE,0.7,0.001,0.25,38,0.0,0.0,0.0,0,-0.04031625890058388,-0.01398650818548064,0.005236532234530286,17,-1.398650818548064,False
P9_02,SAFE,0.7,0.0,0.25,44,0.0,0.0,0.0,0,-0.04031625890058388,-0.01398650818548064,0.005236532234530286,18,-1.398650818548064,False
