candidate,D_sharpe_delta_x,D_annual_delta_x,D_top10_delta_x,V_sharpe_delta_x,V_annual_delta_x,V_top10_delta_x,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta,mode,threshold,hurdle,budget,trigger_days,D_sharpe_delta_y,D_annual_delta_y,D_top10_delta_y,V_sharpe_delta_y,V_annual_delta_y,V_top10_delta_y,robust_score,eligible_DV_triple
P9_24,0.0,0.0,0.0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,0.10565427850532894,0.04374563687660027,0.008665996998372921,0.04553153036264068,0.015066669150851864,0.004361092350301826,True,0.045413880932280826,0.01478687331959927,RA,0.7,0.001,0.35,13,0.0,0.0,0.0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,0.0,True
P9_21,0.0,0.0,0.0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,0.10347417132730463,0.04257414582508079,0.008665996998372921,0.04482117489679949,0.014755668291309032,0.004361092350301854,True,0.04451886650424641,0.014421097110436598,RA,0.7,0.0,0.35,19,0.0,0.0,0.0,0.03270849706590229,0.009756596442086485,1.2565280167547987e-05,0.0,True
P9_23,0.0,0.0,0.0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,0.09149367268707453,0.037898232194937265,0.007721467618356986,0.03804123485672273,0.012558701358610813,0.004357502270253943,True,0.03807935275937946,0.01237568101573805,RA,0.7,0.001,0.25,13,0.0,0.0,0.0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,0.0,True
P9_20,0.0,0.0,0.0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,0.08995775948884233,0.037067165594512286,0.007721467618356986,0.03754215405225758,0.01233761232791375,0.004357502270253943,True,0.03744848274453316,0.012115555288331636,RA,0.7,0.0,0.25,19,0.0,0.0,0.0,0.02358920581758428,0.006977296132017585,8.975200119706872e-06,0.0,True
P9_22,0.0,0.0,0.0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,0.07711245082949558,0.03204874536296143,0.006368534134757048,0.030400360081227262,0.010044144439977476,0.0043539121902060884,True,0.030601981514816412,0.009957749421853235,RA,0.7,0.001,0.15,13,0.0,0.0,0.0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,0.0,True
P9_19,0.0,0.0,0.0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,0.07620341154012356,0.0315535235417852,0.006368534134756992,0.030105842127866378,0.009912123081911028,0.0043539121902060884,True,0.03022846408407598,0.009802359253983095,RA,0.7,0.0,0.15,19,0.0,0.0,0.0,0.014286572709955148,0.004191341639200541,5.385120071865757e-06,0.0,True
P9_27,0.0,0.0,0.0,0.043870353864868705,0.013412030584262657,1.2565280167589621e-05,0.04342842767658461,0.017368306803864142,0.004317469928238782,0.027778819244874686,0.009267482193742849,1.2565280167742277e-05,True,0.027579985532862006,0.009041393305329049,RA,0.7,0.002,0.35,9,0.0,0.0,0.0,0.043870353864868705,0.013412030584262657,1.2565280167589621e-05,0.0,True
P9_26,0.0,0.0,0.0,0.031515723990196975,0.009577511651100101,8.975200119748505e-06,0.03126311760803313,0.012413565703490281,0.003372940548222861,0.019999832705811516,0.0066251903095386755,8.975200119942794e-06,True,0.019849223419652118,0.006463751628298375,RA,0.7,0.002,0.25,9,0.0,0.0,0.0,0.031515723990196975,0.009577511651100101,8.975200119748505e-06,0.0,True
P9_25,0.0,0.0,0.0,0.01901487368615251,0.005745000961316471,5.38512007190739e-06,0.01889981378482042,0.0074526901946658786,0.00202000706462295,0.012093226261905121,0.003978453388406411,5.385120071921268e-06,True,0.011997711470070227,0.003881622075016855,RA,0.7,0.002,0.15,9,0.0,0.0,0.0,0.01901487368615251,0.005745000961316471,5.38512007190739e-06,0.0,True
P9_36,0.0,0.0,0.0,0.0,0.0,0.0,0.020881919358578527,0.00806177480902659,0.0025411836305512525,0.007177672788696299,0.002176970324389238,5.551115123125783e-17,True,0.0069648985635841765,0.002078943282784129,RA,0.8,0.002,0.35,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P9_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0150512746482232,0.005769592336077656,0.0018113195445458724,0.005181944578578124,0.0015589010603920261,0.0,True,0.005027294942866245,0.001488871727289176,RA,0.8,0.002,0.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P9_34,0.0,0.0,0.0,0.0,0.0,0.0,0.009111100228715863,0.0034684706277534616,0.0010845065345353594,0.003142041844593102,0.0009377008879727367,8.326672684688674e-17,True,0.0030476540907060645,0.0008956770492001276,RA,0.8,0.002,0.15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
