mode,forecast_year,selected_alpha,inner_train_rows,validation_rows,final_train_rows,validation_mse,forecast_label_mse,forecast_sign_hit_rate,forecast_prediction_mean,forecast_realized_mean
SAFE,2018,100.0,110,40,150,0.0005054493150980241,0.0012364303420405176,0.5431034482758621,-0.006636254976813456,-0.0035529655113384446
SAFE,2019,10.0,150,24,175,0.0017076774829120397,0.001917598768975645,0.41397849462365593,-0.002425175120166888,-0.004457612319577235
SAFE,2020,100.0,175,34,209,0.0019792861021453024,0.0035184043123277237,0.518324607329843,-0.009585698386071085,-0.004530030741049225
SAFE,2021,100.0,209,37,247,0.004797487275090622,0.0007177615001747146,0.4966442953020134,-0.0030191439171087632,-0.0014646921296365737
SAFE,2022,100.0,247,28,276,0.0004587382745035443,0.001092655640927249,0.4854368932038835,-0.006326997141683148,-0.006185910312283452
SAFE,2023,100.0,276,22,299,0.000515156849276215,0.0006747369343315528,0.4484848484848485,0.001447972102512682,-0.0011731224406162969
SAFE,2024,100.0,299,30,329,0.0006021706311351911,0.004038716932545348,0.4425287356321839,-0.0059233351516359,-0.001646563966616865
SAFE,2025,1.0,329,34,364,0.004095934857975992,0.001483455315456561,0.4897959183673469,-0.004988534033522163,0.00042900881571829395
SAFE,2026,100.0,364,38,403,0.002096877002613113,0.003010397541149755,0.4069767441860465,-0.00037768525504108845,-0.003726325054568815
RA,2018,100.0,110,40,150,0.0003801669950617438,0.0012198732571348028,0.6206896551724138,-0.010786886712211936,-0.008296067706189385
RA,2019,100.0,150,24,175,0.0013766757369396377,0.0012648774701847752,0.5,-0.00585655837539544,-0.0016058424176358078
RA,2020,100.0,175,34,209,0.001103996543376988,0.003168682821324153,0.4869109947643979,-0.008663241207675393,0.004034957134098277
RA,2021,100.0,209,37,247,0.0033288567691064043,0.0008238309263953757,0.5100671140939598,-0.0037241960189330803,-0.0001886644648301768
RA,2022,100.0,247,28,276,0.00034699037242076923,0.0009381653404997372,0.5339805825242718,-0.0065608106319289036,-0.00299388601116701
RA,2023,100.0,276,22,299,0.0007168851006092822,0.0006118324906341374,0.4909090909090909,-0.0007418260814380647,-0.004908494040793709
RA,2024,100.0,299,30,329,0.0006218436420732774,0.004968264129771127,0.47126436781609193,-0.006284041682035035,-0.004856968361991164
RA,2025,0.1,329,34,364,0.009955601030457962,0.0017525275346662484,0.4744897959183674,-0.0038328967894396505,0.0032241831756428924
RA,2026,100.0,364,38,403,0.0021842531339850853,0.0031811167552534274,0.4418604651162791,-0.0025289137765221433,-0.0006205035317934023
