year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7677552666581031,0.0
2015,0.39635776312980187,0.39635776312980187,0.0
2016,0.14299272484202374,0.14299272484202374,0.0
2017,0.24303199599157344,0.24303199599157344,0.0
2018,0.286836138780572,0.286836138780572,0.0
2019,0.42816920631941713,0.42816920631941713,0.0
2020,0.21398539300393304,0.21398539300393304,0.0
2021,0.06184614235334007,0.04720381577289534,-0.014642326580444731
2022,0.2282291014130471,0.2506110443498213,0.022381942936774202
2023,0.09325641293319364,0.09325641293319364,0.0
2024,0.6931222879592331,0.6931222879592331,0.0
2025,0.5095569756768099,0.5095569756768099,0.0
2026,0.176127385233807,0.176127385233807,0.0
