days,annual_return,sharpe,max_drawdown,total_return,strategy,one_way_cost_rate
3173,0.3055858016226536,1.1553019230253505,-0.2574996335895967,27.71688127382674,baseline,0.0
3173,0.3687099520091386,1.3222689705983648,-0.26644603031324443,51.039598282174346,selected,0.0
3173,0.29941989744796316,1.1371121392948775,-0.2579467007454497,26.055203692289616,baseline,0.0001
3173,0.34691633068851924,1.2612781637449821,-0.2679216009627201,41.517001617327274,selected,0.0001
3173,0.28717166192372523,1.1006862615783013,-0.2588402967011063,23.013882237864316,baseline,0.0003
3173,0.30435205265735377,1.1392029687100627,-0.2708647311124216,27.377059587215374,selected,0.0003
3173,0.2750340546950245,1.0642032535638042,-0.2622193265943884,20.313425826382915,baseline,0.0005
3173,0.26311664134966173,1.0170415386679754,-0.27379720837333654,17.936597133606398,selected,0.0005
3173,0.24516778351019441,0.9727823499455991,-0.2710889593763657,14.813932386864478,baseline,0.001
3173,0.16557603103155216,0.7115641705779739,-0.2899042863007112,5.883839733346994,selected,0.001
