family,q_window,rsi_weight,threshold,rebalance_days,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,train_joint_improvement,test_joint_improvement,full_joint_improvement,dual_improvement_train_and_test
top1_lo,20,0.5,,1,2215,0.2859450833213375,1.1408246585980188,-0.2691957449972293,8.120747194486727,958,0.5478336582943273,1.5812333187667247,-0.25504107542942467,4.263243196701716,3173,0.3599650390589084,1.287557263792779,-0.2691957449972293,47.004710620218425,146.53009769933817,0.03422035939378576,0.24599211495007878,0.1144768636938609,True
rsi_riskoff,20,,35.0,1,2215,0.2663391820090548,1.0946939163571285,-0.2849299695182552,6.968605686179126,958,0.4831208827314528,1.4774160848554467,-0.25504107542942467,3.47448028135961,3173,0.3282197346777793,1.2214051578505498,-0.2849299695182552,34.65536901273852,82.83517176173967,-0.007924277095024745,0.16418543069030722,0.057217281048141055,False
confirm_lower,20,,40.0,10,2215,0.30313555812531745,1.2261612148121799,-0.4330337869774964,9.249956885104067,958,0.36844361987727337,1.4384013603913606,-0.20010681196471902,2.2951750284619408,3173,0.3225180789684827,1.2901069207143216,-0.4330337869774964,32.775401970606474,32.16514339741569,0.11158264567684872,-0.06869768425653311,0.0554092410574023,False
gold_riskoff,20,,35.0,1,2215,0.2675653112152596,1.0979550170387673,-0.28167712374641196,7.036679489771194,958,0.47640200636643093,1.4617146709930626,-0.25504107542942456,3.397908204338747,3173,0.327296543408762,1.218133696276725,-0.28167712374641196,34.344578663705704,82.51749133312322,-0.004643330802898915,0.1518129125844041,0.054385587004684544,False
qmom,20,,,1,2215,0.2647774034475432,1.0895147266445082,-0.2849299695182552,6.882637133952165,958,0.47640200636643093,1.4617146709930626,-0.25504107542942456,3.397908204338747,3173,0.325257981103209,1.2126456676285833,-0.2849299695182552,33.66711452323356,82.51749133312322,-0.013741680992347183,0.1518129125844041,0.0496352888023146,False
top1_hi,20,0.1,,1,2215,0.2647774034475432,1.0895147266445082,-0.2849299695182552,6.882637133952165,958,0.47640200636643093,1.4617146709930626,-0.25504107542942456,3.397908204338747,3173,0.325257981103209,1.2126456676285833,-0.2849299695182552,33.66711452323356,82.51749133312322,-0.013741680992347183,0.1518129125844041,0.0496352888023146,False
filter_upper,20,,80.0,3,2215,0.24145355604828356,1.0225584374159238,-0.2852092976386861,5.692972985885562,958,0.49400871552819114,1.6304711997730348,-0.17159453686871284,3.6006442138408845,3173,0.31284025038890895,1.2186856352868207,-0.2852092976386861,29.79198744090778,71.55751654585565,-0.1006197084571877,0.24868890638439445,0.023739482422725056,False
rsi_hi,20,,,1,2221,0.18675116487993781,0.8768748521896454,-0.39568722171050164,3.5223933322920793,958,0.3846819034570752,1.4660244116102568,-0.22469461349300235,2.4463106921789244,3179,0.2432182721461167,1.0635787263901966,-0.39568722171050164,14.585572495316898,94.88644227744574,-0.3043783663219638,-0.027652731146459275,-0.20409171219790567,False
blend_hi,20,0.1,,1,2215,0.1514125012954579,0.9458809670305126,-0.24694327366986568,2.453031403332402,958,0.25816232520267346,1.3694320746770412,-0.13208863855701525,1.3941848729362056,3173,0.18265122883109686,1.0813795627763616,-0.24694327366986568,7.26719555163211,27.8875282926969,-0.43600988203667645,-0.347451934765344,-0.4022915074547867,False
blend_lo,20,0.1,,10,2215,0.1535176106000451,0.9429341544073843,-0.30068177729094736,2.5089185280149016,958,0.23610691563642128,1.380139513073396,-0.12813932168333098,1.2385100996404264,3173,0.17785412323553218,1.073394472369351,-0.30068177729094736,6.854749563776803,7.553092857347505,-0.42816864809058996,-0.40320063794702243,-0.4179895718612223,False
rsi_lo,20,,,5,2221,0.09050878069516699,0.48162336693125296,-0.4425087432728033,1.1460723703716056,958,0.20443099802064357,0.8011979556111366,-0.2963763426037225,1.0281475046266304,3179,0.12365597022892727,0.586986795208901,-0.4425087432728033,3.3525513227173356,55.88549858446052,-0.6628676135441725,-0.4832667697440646,-0.5953477891567052,False
